service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
01-100,0,0,0,0,0,0,1,20260305,20290304
01-160,0,0,0,0,0,1,0,20260305,20290304
01-170,1,1,1,1,1,0,0,20260305,20290304
06-100,0,0,0,0,0,0,1,20260305,20290304
06-160,0,0,0,0,0,1,0,20260305,20290304
06-170,1,1,1,1,1,0,0,20260305,20290304
09-100,0,0,0,0,0,0,1,20260305,20290304
09-160,0,0,0,0,0,1,0,20260305,20290304
09-170,1,1,1,1,1,0,0,20260305,20290304
13-100,0,0,0,0,0,0,1,20260305,20290304
13-160,0,0,0,0,0,1,0,20260305,20290304
13-170,1,1,1,1,1,0,0,20260305,20290304
21-100,0,0,0,0,0,0,1,20260305,20290304
21-160,0,0,0,0,0,1,0,20260305,20290304
21-170,1,1,1,1,1,0,0,20260305,20290304
25-100,0,0,0,0,0,0,1,20260305,20290304
25-160,0,0,0,0,0,1,0,20260305,20290304
25-170,1,1,1,1,1,0,0,20260305,20290304
29-100,0,0,0,0,0,0,1,20260305,20290304
29-160,0,0,0,0,0,1,0,20260305,20290304
29-170,1,1,1,1,1,0,0,20260305,20290304
33-100,0,0,0,0,0,0,1,20260305,20290304
33-160,0,0,0,0,0,1,0,20260305,20290304
33-170,1,1,1,1,1,0,0,20260305,20290304
37-100,0,0,0,0,0,0,1,20260305,20290304
37-160,0,0,0,0,0,1,0,20260305,20290304
37-170,1,1,1,1,1,0,0,20260305,20290304
41-100,0,0,0,0,0,0,1,20260305,20290304
41-160,0,0,0,0,0,1,0,20260305,20290304
41-170,1,1,1,1,1,0,0,20260305,20290304
45-100,0,0,0,0,0,0,1,20260305,20290304
45-160,0,0,0,0,0,1,0,20260305,20290304
45-170,1,1,1,1,1,0,0,20260305,20290304
49-100,0,0,0,0,0,0,1,20260305,20290304
49-160,0,0,0,0,0,1,0,20260305,20290304
49-170,1,1,1,1,1,0,0,20260305,20290304
53-100,0,0,0,0,0,0,1,20260305,20290304
53-160,0,0,0,0,0,1,0,20260305,20290304
53-170,1,1,1,1,1,0,0,20260305,20290304
57-100,0,0,0,0,0,0,1,20260305,20290304
57-160,0,0,0,0,0,1,0,20260305,20290304
57-170,1,1,1,1,1,0,0,20260305,20290304
61-100,0,0,0,0,0,0,1,20260305,20290304
61-160,0,0,0,0,0,1,0,20260305,20290304
61-170,1,1,1,1,1,0,0,20260305,20290304
65-100,0,0,0,0,0,0,1,20260305,20290304
65-160,0,0,0,0,0,1,0,20260305,20290304
65-170,1,1,1,1,1,0,0,20260305,20290304
69-100,0,0,0,0,0,0,1,20260305,20290304
69-160,0,0,0,0,0,1,0,20260305,20290304
69-170,1,1,1,1,1,0,0,20260305,20290304
77-100,0,0,0,0,0,0,1,20260305,20290304
77-160,0,0,0,0,0,1,0,20260305,20290304
77-170,1,1,1,1,1,0,0,20260305,20290304
81-100,0,0,0,0,0,0,1,20260305,20290304
81-160,0,0,0,0,0,1,0,20260305,20290304
81-170,1,1,1,1,1,0,0,20260305,20290304
85-100,0,0,0,0,0,0,1,20260305,20290304
85-160,0,0,0,0,0,1,0,20260305,20290304
85-170,1,1,1,1,1,0,0,20260305,20290304
