service_id,date,exception_type
09-173,20260305,1
09-170,20260305,2
09-173,20260306,1
09-170,20260306,2
09-173,20260309,1
09-170,20260309,2
01-179,20260311,1
01-170,20260311,2
09-173,20260311,1
09-170,20260311,2
81-179,20260311,1
81-170,20260311,2
09-173,20260312,1
09-170,20260312,2
09-173,20260316,1
09-170,20260316,2
09-173,20260317,1
09-170,20260317,2
01-179,20260318,1
01-170,20260318,2
09-173,20260318,1
09-170,20260318,2
81-179,20260318,1
81-170,20260318,2
09-173,20260319,1
09-170,20260319,2
37-171,20260319,1
37-170,20260319,2
01-104,20260320,1
01-170,20260320,2
06-100,20260320,1
06-170,20260320,2
09-100,20260320,1
09-170,20260320,2
13-100,20260320,1
13-170,20260320,2
21-100,20260320,1
21-170,20260320,2
25-100,20260320,1
25-170,20260320,2
29-100,20260320,1
29-170,20260320,2
33-100,20260320,1
33-170,20260320,2
37-100,20260320,1
37-170,20260320,2
45-100,20260320,1
45-170,20260320,2
49-100,20260320,1
49-170,20260320,2
53-100,20260320,1
53-170,20260320,2
57-100,20260320,1
57-170,20260320,2
61-100,20260320,1
61-170,20260320,2
65-100,20260320,1
65-170,20260320,2
69-100,20260320,1
69-170,20260320,2
77-100,20260320,1
77-170,20260320,2
81-101,20260320,1
81-170,20260320,2
85-101,20260320,1
85-170,20260320,2
37-161,20260321,1
37-160,20260321,2
09-173,20260323,1
09-170,20260323,2
37-171,20260323,1
37-170,20260323,2
09-173,20260324,1
09-170,20260324,2
37-171,20260324,1
37-170,20260324,2
01-179,20260325,1
01-170,20260325,2
09-173,20260325,1
09-170,20260325,2
37-171,20260325,1
37-170,20260325,2
81-179,20260325,1
81-170,20260325,2
09-173,20260326,1
09-170,20260326,2
37-171,20260326,1
37-170,20260326,2
09-173,20260327,1
09-170,20260327,2
37-171,20260327,1
37-170,20260327,2
37-161,20260328,1
37-160,20260328,2
09-173,20260330,1
09-170,20260330,2
37-171,20260330,1
37-170,20260330,2
09-173,20260331,1
09-170,20260331,2
37-171,20260331,1
37-170,20260331,2
01-179,20260401,1
01-170,20260401,2
09-173,20260401,1
09-170,20260401,2
09-173,20260402,1
09-170,20260402,2
37-171,20260402,1
37-170,20260402,2
09-173,20260403,1
09-170,20260403,2
09-173,20260406,1
09-170,20260406,2
09-173,20260407,1
09-170,20260407,2
01-179,20260408,1
01-170,20260408,2
01-179,20260415,1
01-170,20260415,2
01-179,20260422,1
01-170,20260422,2
01-104,20260429,1
01-170,20260429,2
06-100,20260429,1
06-170,20260429,2
09-100,20260429,1
09-170,20260429,2
13-100,20260429,1
13-170,20260429,2
21-100,20260429,1
21-170,20260429,2
25-100,20260429,1
25-170,20260429,2
29-100,20260429,1
29-170,20260429,2
33-100,20260429,1
33-170,20260429,2
37-100,20260429,1
37-170,20260429,2
45-100,20260429,1
45-170,20260429,2
49-100,20260429,1
49-170,20260429,2
53-100,20260429,1
53-170,20260429,2
57-100,20260429,1
57-170,20260429,2
61-100,20260429,1
61-170,20260429,2
65-100,20260429,1
65-170,20260429,2
69-100,20260429,1
69-170,20260429,2
77-100,20260429,1
77-170,20260429,2
81-101,20260429,1
81-170,20260429,2
85-101,20260429,1
85-170,20260429,2
