task_id,start_time_idx,end_time_idx,origin,destination,distance_km,energy_required_kwh_bev,fuel_required_liter_ice,required_vehicle_type,demand_cover,penalty_unserved
T_Weekday.0541,2,4,目黒郵便局,権之助坂,2.388,2.866,0.955,,True,10000.0
T_Weekday.0543,2,3,清水,目黒駅前,2.213,2.656,0.885,,True,10000.0
T_Weekday.0545,3,4,目黒郵便局,権之助坂,2.388,2.866,0.955,,True,10000.0
T_Weekday.0551,3,4,清水,目黒駅前,2.213,2.656,0.885,,True,10000.0
T_Weekday.0601,4,5,清水,目黒駅前,2.213,2.656,0.885,,True,10000.0
T_Weekday.0601,4,5,目黒郵便局,権之助坂,2.388,2.866,0.955,,True,10000.0
T_Weekday.0603,4,6,目黒郵便局,権之助坂,2.388,2.866,0.955,,True,10000.0
T_Weekday.0609,4,7,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0614,4,5,清水,目黒駅前,2.213,2.656,0.885,,True,10000.0
T_Weekday.0615,5,6,目黒郵便局,権之助坂,2.388,2.866,0.955,,True,10000.0
T_Weekday.0620,5,8,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0623,5,6,清水,目黒駅前,2.213,2.656,0.885,,True,10000.0
T_Weekday.0625,5,7,目黒郵便局,権之助坂,2.388,2.866,0.955,,True,10000.0
T_Weekday.0629,5,8,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0632,6,7,清水,目黒駅前,2.213,2.656,0.885,,True,10000.0
T_Weekday.0638,6,9,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0640,6,7,清水,目黒駅前,2.213,2.656,0.885,,True,10000.0
T_Weekday.0647,7,9,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0647,7,8,清水,目黒駅前,2.213,2.656,0.885,,True,10000.0
T_Weekday.0649,7,9,目黒郵便局,権之助坂,2.388,2.866,0.955,,True,10000.0
T_Weekday.0652,7,9,目黒郵便局,権之助坂,2.388,2.866,0.955,,True,10000.0
T_Weekday.0653,7,10,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0657,7,10,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0657,7,8,清水,目黒駅前,2.213,2.656,0.885,,True,10000.0
T_Weekday.0657,7,9,目黒郵便局,権之助坂,2.388,2.866,0.955,,True,10000.0
T_Weekday.0701,8,10,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0702,8,10,目黒郵便局,権之助坂,2.388,2.866,0.955,,True,10000.0
T_Weekday.0705,8,11,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0705,8,9,清水,目黒駅前,2.213,2.656,0.885,,True,10000.0
T_Weekday.0709,8,11,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0713,8,11,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0715,9,10,目黒郵便局,権之助坂,2.388,2.866,0.955,,True,10000.0
T_Weekday.0717,9,12,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0721,9,12,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0723,9,11,目黒郵便局,権之助坂,2.388,2.866,0.955,,True,10000.0
T_Weekday.0724,9,12,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0727,9,12,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0730,10,12,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0733,10,13,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0736,10,13,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0739,10,13,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0742,10,13,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0745,11,13,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0748,11,14,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0751,11,14,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0754,11,14,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0757,11,14,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0800,12,14,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0803,12,15,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0806,12,15,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0809,12,15,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0812,12,15,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0815,13,15,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0818,13,16,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0821,13,16,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0824,13,16,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0827,13,16,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0830,14,16,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0833,14,17,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0836,14,17,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0839,14,17,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0842,14,17,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0845,15,17,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0848,15,18,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0851,15,18,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0854,15,18,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0857,15,18,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0900,16,18,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0903,16,19,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0907,16,19,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0911,16,19,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0915,17,20,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0919,17,20,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0924,17,20,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0930,18,21,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0936,18,21,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0941,18,21,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0947,19,22,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0953,19,22,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.0958,19,22,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1004,20,23,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1010,20,23,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1015,21,24,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1021,21,24,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1027,21,24,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1032,22,25,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1038,22,25,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1044,22,26,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1049,23,26,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1055,23,26,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1101,24,27,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1106,24,27,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1112,24,27,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1118,25,28,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1123,25,28,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1129,25,29,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1135,26,29,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1140,26,29,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1146,27,30,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1152,27,30,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1157,27,30,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1203,28,31,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1209,28,31,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1214,28,32,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1220,29,32,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1226,29,32,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1231,30,33,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1237,30,33,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1243,30,33,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1248,31,34,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1254,31,34,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1300,32,35,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1305,32,35,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1311,32,35,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1317,33,36,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1322,33,36,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1328,33,36,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1334,34,37,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1339,34,37,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1345,35,38,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1351,35,38,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1356,35,38,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1402,36,39,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1408,36,39,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1413,36,39,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1419,37,40,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1425,37,40,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1430,38,41,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1436,38,41,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1442,38,41,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1447,39,42,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1453,39,42,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1459,39,43,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1504,40,43,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1510,40,43,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1516,41,44,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
T_Weekday.1521,41,44,目黒駅前,大岡山小学校前,4.468,5.362,1.787,,True,10000.0
