air_temp,dhi,dni,ghi,gti,period_end,period
25,0,0,0,0,2025-08-01T01:00:00+09:00,PT60M
25,0,0,0,0,2025-08-01T02:00:00+09:00,PT60M
25,0,0,0,0,2025-08-01T03:00:00+09:00,PT60M
25,0,0,0,0,2025-08-01T04:00:00+09:00,PT60M
25,0,0,0,0,2025-08-01T05:00:00+09:00,PT60M
25,33,0,33,32,2025-08-01T06:00:00+09:00,PT60M
25,145,3,146,142,2025-08-01T07:00:00+09:00,PT60M
26,237,0,237,231,2025-08-01T08:00:00+09:00,PT60M
26,290,0,290,282,2025-08-01T09:00:00+09:00,PT60M
27,383,0,383,373,2025-08-01T10:00:00+09:00,PT60M
27,404,267,650,656,2025-08-01T11:00:00+09:00,PT60M
28,379,351,712,724,2025-08-01T12:00:00+09:00,PT60M
29,339,0,339,330,2025-08-01T13:00:00+09:00,PT60M
30,294,0,294,286,2025-08-01T14:00:00+09:00,PT60M
29,267,0,267,260,2025-08-01T15:00:00+09:00,PT60M
28,217,0,217,211,2025-08-01T16:00:00+09:00,PT60M
28,155,0,155,151,2025-08-01T17:00:00+09:00,PT60M
28,95,0,95,92,2025-08-01T18:00:00+09:00,PT60M
27,11,0,11,11,2025-08-01T19:00:00+09:00,PT60M
27,0,0,0,0,2025-08-01T20:00:00+09:00,PT60M
27,0,0,0,0,2025-08-01T21:00:00+09:00,PT60M
27,0,0,0,0,2025-08-01T22:00:00+09:00,PT60M
27,0,0,0,0,2025-08-01T23:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T00:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T01:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T02:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T03:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T04:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T05:00:00+09:00,PT60M
27,26,0,26,25,2025-08-02T06:00:00+09:00,PT60M
28,114,0,114,111,2025-08-02T07:00:00+09:00,PT60M
29,237,5,240,233,2025-08-02T08:00:00+09:00,PT60M
30,263,226,425,420,2025-08-02T09:00:00+09:00,PT60M
31,373,228,565,564,2025-08-02T10:00:00+09:00,PT60M
32,166,748,847,878,2025-08-02T11:00:00+09:00,PT60M
32,143,809,912,953,2025-08-02T12:00:00+09:00,PT60M
33,158,785,896,934,2025-08-02T13:00:00+09:00,PT60M
33,167,746,822,849,2025-08-02T14:00:00+09:00,PT60M
32,163,696,698,706,2025-08-02T15:00:00+09:00,PT60M
32,124,679,545,532,2025-08-02T16:00:00+09:00,PT60M
31,187,198,283,268,2025-08-02T17:00:00+09:00,PT60M
30,86,0,86,84,2025-08-02T18:00:00+09:00,PT60M
29,10,0,10,10,2025-08-02T19:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T20:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T21:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T22:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T23:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T00:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T01:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T02:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T03:00:00+09:00,PT60M
26,0,0,0,0,2025-08-03T04:00:00+09:00,PT60M
26,0,0,0,0,2025-08-03T05:00:00+09:00,PT60M
27,42,102,57,43,2025-08-03T06:00:00+09:00,PT60M
27,104,349,218,187,2025-08-03T07:00:00+09:00,PT60M
29,226,217,341,327,2025-08-03T08:00:00+09:00,PT60M
30,187,576,575,570,2025-08-03T09:00:00+09:00,PT60M
31,376,251,583,583,2025-08-03T10:00:00+09:00,PT60M
32,409,281,665,673,2025-08-03T11:00:00+09:00,PT60M
33,196,726,886,924,2025-08-03T12:00:00+09:00,PT60M
34,261,611,834,865,2025-08-03T13:00:00+09:00,PT60M
34,266,562,758,778,2025-08-03T14:00:00+09:00,PT60M
34,310,355,587,589,2025-08-03T15:00:00+09:00,PT60M
33,240,368,465,455,2025-08-03T16:00:00+09:00,PT60M
33,204,105,256,246,2025-08-03T17:00:00+09:00,PT60M
31,70,0,70,68,2025-08-03T18:00:00+09:00,PT60M
30,6,0,6,6,2025-08-03T19:00:00+09:00,PT60M
30,0,0,0,0,2025-08-03T20:00:00+09:00,PT60M
29,0,0,0,0,2025-08-03T21:00:00+09:00,PT60M
29,0,0,0,0,2025-08-03T22:00:00+09:00,PT60M
