air_temp,dhi,dni,ghi,gti,period_end,period
26,0,0,0,0,2025-08-01T01:00:00+09:00,PT60M
26,0,0,0,0,2025-08-01T02:00:00+09:00,PT60M
26,0,0,0,0,2025-08-01T03:00:00+09:00,PT60M
26,0,0,0,0,2025-08-01T04:00:00+09:00,PT60M
25,0,0,0,0,2025-08-01T05:00:00+09:00,PT60M
25,34,0,34,34,2025-08-01T06:00:00+09:00,PT60M
26,134,24,141,135,2025-08-01T07:00:00+09:00,PT60M
26,210,11,215,208,2025-08-01T08:00:00+09:00,PT60M
26,234,0,234,228,2025-08-01T09:00:00+09:00,PT60M
27,276,0,276,269,2025-08-01T10:00:00+09:00,PT60M
28,355,341,670,680,2025-08-01T11:00:00+09:00,PT60M
29,305,321,609,619,2025-08-01T12:00:00+09:00,PT60M
30,330,2,332,323,2025-08-01T13:00:00+09:00,PT60M
30,151,0,151,146,2025-08-01T14:00:00+09:00,PT60M
29,367,4,370,360,2025-08-01T15:00:00+09:00,PT60M
29,156,0,156,152,2025-08-01T16:00:00+09:00,PT60M
28,150,0,150,146,2025-08-01T17:00:00+09:00,PT60M
28,83,0,83,81,2025-08-01T18:00:00+09:00,PT60M
28,11,0,11,10,2025-08-01T19:00:00+09:00,PT60M
28,0,0,0,0,2025-08-01T20:00:00+09:00,PT60M
27,0,0,0,0,2025-08-01T21:00:00+09:00,PT60M
27,0,0,0,0,2025-08-01T22:00:00+09:00,PT60M
27,0,0,0,0,2025-08-01T23:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T00:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T01:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T02:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T03:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T04:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T05:00:00+09:00,PT60M
28,21,0,21,20,2025-08-02T06:00:00+09:00,PT60M
28,128,0,128,125,2025-08-02T07:00:00+09:00,PT60M
29,154,0,154,149,2025-08-02T08:00:00+09:00,PT60M
30,320,3,322,313,2025-08-02T09:00:00+09:00,PT60M
31,413,83,482,475,2025-08-02T10:00:00+09:00,PT60M
33,261,557,771,794,2025-08-02T11:00:00+09:00,PT60M
33,139,813,911,952,2025-08-02T12:00:00+09:00,PT60M
33,151,792,895,934,2025-08-02T13:00:00+09:00,PT60M
33,159,754,821,848,2025-08-02T14:00:00+09:00,PT60M
33,157,704,696,705,2025-08-02T15:00:00+09:00,PT60M
32,148,614,526,513,2025-08-02T16:00:00+09:00,PT60M
32,124,465,336,308,2025-08-02T17:00:00+09:00,PT60M
31,95,0,95,93,2025-08-02T18:00:00+09:00,PT60M
29,11,0,11,11,2025-08-02T19:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T20:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T21:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T22:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T23:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T00:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T01:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T02:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T03:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T04:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T05:00:00+09:00,PT60M
27,41,115,59,43,2025-08-03T06:00:00+09:00,PT60M
28,131,191,197,178,2025-08-03T07:00:00+09:00,PT60M
29,202,296,360,345,2025-08-03T08:00:00+09:00,PT60M
30,165,627,590,586,2025-08-03T09:00:00+09:00,PT60M
31,376,253,581,582,2025-08-03T10:00:00+09:00,PT60M
32,347,353,673,684,2025-08-03T11:00:00+09:00,PT60M
33,209,698,871,908,2025-08-03T12:00:00+09:00,PT60M
34,320,496,785,809,2025-08-03T13:00:00+09:00,PT60M
