air_temp,dhi,dni,ghi,gti,period_end,period
26,0,0,0,0,2025-08-01T01:00:00+09:00,PT60M
26,0,0,0,0,2025-08-01T02:00:00+09:00,PT60M
26,0,0,0,0,2025-08-01T03:00:00+09:00,PT60M
26,0,0,0,0,2025-08-01T04:00:00+09:00,PT60M
26,0,0,0,0,2025-08-01T05:00:00+09:00,PT60M
26,45,10,47,45,2025-08-01T06:00:00+09:00,PT60M
26,126,24,132,126,2025-08-01T07:00:00+09:00,PT60M
26,187,0,187,182,2025-08-01T08:00:00+09:00,PT60M
26,240,0,240,233,2025-08-01T09:00:00+09:00,PT60M
27,271,4,274,267,2025-08-01T10:00:00+09:00,PT60M
28,327,437,726,742,2025-08-01T11:00:00+09:00,PT60M
29,317,289,591,598,2025-08-01T12:00:00+09:00,PT60M
30,373,0,373,363,2025-08-01T13:00:00+09:00,PT60M
30,192,0,192,187,2025-08-01T14:00:00+09:00,PT60M
29,366,0,366,356,2025-08-01T15:00:00+09:00,PT60M
29,165,0,165,161,2025-08-01T16:00:00+09:00,PT60M
28,165,0,165,160,2025-08-01T17:00:00+09:00,PT60M
28,86,0,86,84,2025-08-01T18:00:00+09:00,PT60M
28,10,0,10,10,2025-08-01T19:00:00+09:00,PT60M
28,0,0,0,0,2025-08-01T20:00:00+09:00,PT60M
27,0,0,0,0,2025-08-01T21:00:00+09:00,PT60M
27,0,0,0,0,2025-08-01T22:00:00+09:00,PT60M
27,0,0,0,0,2025-08-01T23:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T00:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T01:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T02:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T03:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T04:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T05:00:00+09:00,PT60M
28,16,0,16,15,2025-08-02T06:00:00+09:00,PT60M
28,117,0,117,114,2025-08-02T07:00:00+09:00,PT60M
28,156,0,156,151,2025-08-02T08:00:00+09:00,PT60M
29,306,0,306,298,2025-08-02T09:00:00+09:00,PT60M
31,444,18,459,448,2025-08-02T10:00:00+09:00,PT60M
32,247,580,779,802,2025-08-02T11:00:00+09:00,PT60M
32,150,794,905,945,2025-08-02T12:00:00+09:00,PT60M
33,155,787,894,932,2025-08-02T13:00:00+09:00,PT60M
33,194,686,798,822,2025-08-02T14:00:00+09:00,PT60M
32,199,617,669,675,2025-08-02T15:00:00+09:00,PT60M
32,199,470,490,478,2025-08-02T16:00:00+09:00,PT60M
31,140,422,326,299,2025-08-02T17:00:00+09:00,PT60M
30,95,32,105,99,2025-08-02T18:00:00+09:00,PT60M
29,10,0,10,10,2025-08-02T19:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T20:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T21:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T22:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T23:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T00:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T01:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T02:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T03:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T04:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T05:00:00+09:00,PT60M
27,42,113,59,44,2025-08-03T06:00:00+09:00,PT60M
28,113,321,213,183,2025-08-03T07:00:00+09:00,PT60M
29,203,275,356,343,2025-08-03T08:00:00+09:00,PT60M
30,215,504,552,546,2025-08-03T09:00:00+09:00,PT60M
31,355,296,598,600,2025-08-03T10:00:00+09:00,PT60M
32,363,360,693,705,2025-08-03T11:00:00+09:00,PT60M
33,272,588,829,860,2025-08-03T12:00:00+09:00,PT60M
33,414,310,704,716,2025-08-03T13:00:00+09:00,PT60M
