air_temp,dhi,dni,ghi,gti,period_end,period
26,0,0,0,0,2025-08-01T01:00:00+09:00,PT60M
25,0,0,0,0,2025-08-01T02:00:00+09:00,PT60M
25,0,0,0,0,2025-08-01T03:00:00+09:00,PT60M
25,0,0,0,0,2025-08-01T04:00:00+09:00,PT60M
25,0,0,0,0,2025-08-01T05:00:00+09:00,PT60M
25,30,0,30,29,2025-08-01T06:00:00+09:00,PT60M
25,117,0,117,113,2025-08-01T07:00:00+09:00,PT60M
26,178,0,178,173,2025-08-01T08:00:00+09:00,PT60M
26,205,0,205,199,2025-08-01T09:00:00+09:00,PT60M
27,302,1,303,295,2025-08-01T10:00:00+09:00,PT60M
27,367,357,694,705,2025-08-01T11:00:00+09:00,PT60M
29,300,343,626,639,2025-08-01T12:00:00+09:00,PT60M
29,311,0,311,302,2025-08-01T13:00:00+09:00,PT60M
30,237,0,237,231,2025-08-01T14:00:00+09:00,PT60M
29,328,0,328,319,2025-08-01T15:00:00+09:00,PT60M
29,180,0,180,176,2025-08-01T16:00:00+09:00,PT60M
28,162,0,162,158,2025-08-01T17:00:00+09:00,PT60M
28,91,0,91,89,2025-08-01T18:00:00+09:00,PT60M
28,12,0,12,12,2025-08-01T19:00:00+09:00,PT60M
27,0,0,0,0,2025-08-01T20:00:00+09:00,PT60M
27,0,0,0,0,2025-08-01T21:00:00+09:00,PT60M
27,0,0,0,0,2025-08-01T22:00:00+09:00,PT60M
27,0,0,0,0,2025-08-01T23:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T00:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T01:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T02:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T03:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T04:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T05:00:00+09:00,PT60M
28,25,0,25,24,2025-08-02T06:00:00+09:00,PT60M
28,128,0,128,125,2025-08-02T07:00:00+09:00,PT60M
29,153,0,153,149,2025-08-02T08:00:00+09:00,PT60M
30,299,8,305,297,2025-08-02T09:00:00+09:00,PT60M
31,353,217,538,537,2025-08-02T10:00:00+09:00,PT60M
32,190,701,830,859,2025-08-02T11:00:00+09:00,PT60M
32,145,808,912,953,2025-08-02T12:00:00+09:00,PT60M
33,157,788,897,935,2025-08-02T13:00:00+09:00,PT60M
33,165,750,822,849,2025-08-02T14:00:00+09:00,PT60M
32,161,700,698,707,2025-08-02T15:00:00+09:00,PT60M
32,123,682,545,532,2025-08-02T16:00:00+09:00,PT60M
31,119,483,339,311,2025-08-02T17:00:00+09:00,PT60M
30,89,0,89,87,2025-08-02T18:00:00+09:00,PT60M
29,13,0,13,12,2025-08-02T19:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T20:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T21:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T22:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T23:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T00:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T01:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T02:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T03:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T04:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T05:00:00+09:00,PT60M
27,37,153,62,43,2025-08-03T06:00:00+09:00,PT60M
27,106,358,218,185,2025-08-03T07:00:00+09:00,PT60M
29,224,190,331,320,2025-08-03T08:00:00+09:00,PT60M
30,212,514,555,549,2025-08-03T09:00:00+09:00,PT60M
31,379,243,578,579,2025-08-03T10:00:00+09:00,PT60M
32,412,219,615,618,2025-08-03T11:00:00+09:00,PT60M
33,243,642,853,887,2025-08-03T12:00:00+09:00,PT60M
33,365,412,753,771,2025-08-03T13:00:00+09:00,PT60M
34,345,397,692,703,2025-08-03T14:00:00+09:00,PT60M
34,165,689,694,704,2025-08-03T15:00:00+09:00,PT60M
33,165,573,520,509,2025-08-03T16:00:00+09:00,PT60M
33,181,223,286,271,2025-08-03T17:00:00+09:00,PT60M
32,74,0,74,72,2025-08-03T18:00:00+09:00,PT60M
31,7,0,7,6,2025-08-03T19:00:00+09:00,PT60M
30,0,0,0,0,2025-08-03T20:00:00+09:00,PT60M
30,0,0,0,0,2025-08-03T21:00:00+09:00,PT60M
29,0,0,0,0,2025-08-03T22:00:00+09:00,PT60M
29,0,0,0,0,2025-08-03T23:00:00+09:00,PT60M
29,0,0,0,0,2025-08-04T00:00:00+09:00,PT60M
28,0,0,0,0,2025-08-04T01:00:00+09:00,PT60M
28,0,0,0,0,2025-08-04T02:00:00+09:00,PT60M
28,0,0,0,0,2025-08-04T03:00:00+09:00,PT60M
28,0,0,0,0,2025-08-04T04:00:00+09:00,PT60M
28,0,0,0,0,2025-08-04T05:00:00+09:00,PT60M
28,42,58,52,44,2025-08-04T06:00:00+09:00,PT60M
29,113,305,210,181,2025-08-04T07:00:00+09:00,PT60M
30,152,489,407,386,2025-08-04T08:00:00+09:00,PT60M
31,158,656,605,603,2025-08-04T09:00:00+09:00,PT60M
32,170,723,760,779,2025-08-04T10:00:00+09:00,PT60M
33,179,758,866,901,2025-08-04T11:00:00+09:00,PT60M
33,187,768,914,956,2025-08-04T12:00:00+09:00,PT60M
33,190,759,901,941,2025-08-04T13:00:00+09:00,PT60M
33,191,726,827,855,2025-08-04T14:00:00+09:00,PT60M
33,180,681,700,711,2025-08-04T15:00:00+09:00,PT60M
33,132,674,547,536,2025-08-04T16:00:00+09:00,PT60M
32,133,446,335,309,2025-08-04T17:00:00+09:00,PT60M
31,103,86,128,117,2025-08-04T18:00:00+09:00,PT60M
30,15,10,16,15,2025-08-04T19:00:00+09:00,PT60M
29,0,0,0,0,2025-08-04T20:00:00+09:00,PT60M
29,0,0,0,0,2025-08-04T21:00:00+09:00,PT60M
28,0,0,0,0,2025-08-04T22:00:00+09:00,PT60M
28,0,0,0,0,2025-08-04T23:00:00+09:00,PT60M
28,0,0,0,0,2025-08-05T00:00:00+09:00,PT60M
28,0,0,0,0,2025-08-05T01:00:00+09:00,PT60M
28,0,0,0,0,2025-08-05T02:00:00+09:00,PT60M
28,0,0,0,0,2025-08-05T03:00:00+09:00,PT60M
27,0,0,0,0,2025-08-05T04:00:00+09:00,PT60M
27,0,0,0,0,2025-08-05T05:00:00+09:00,PT60M
27,40,84,53,42,2025-08-05T06:00:00+09:00,PT60M
29,104,328,213,186,2025-08-05T07:00:00+09:00,PT60M
30,136,542,413,392,2025-08-05T08:00:00+09:00,PT60M
31,157,649,598,597,2025-08-05T09:00:00+09:00,PT60M
32,145,754,758,780,2025-08-05T10:00:00+09:00,PT60M
33,157,776,859,895,2025-08-05T11:00:00+09:00,PT60M
34,172,771,901,945,2025-08-05T12:00:00+09:00,PT60M
35,184,749,884,925,2025-08-05T13:00:00+09:00,PT60M
35,196,699,806,835,2025-08-05T14:00:00+09:00,PT60M
35,193,635,678,689,2025-08-05T15:00:00+09:00,PT60M
34,196,490,492,482,2025-08-05T16:00:00+09:00,PT60M
34,158,248,277,262,2025-08-05T17:00:00+09:00,PT60M
33,84,0,84,82,2025-08-05T18:00:00+09:00,PT60M
32,12,16,14,12,2025-08-05T19:00:00+09:00,PT60M
31,0,0,0,0,2025-08-05T20:00:00+09:00,PT60M
30,0,0,0,0,2025-08-05T21:00:00+09:00,PT60M
30,0,0,0,0,2025-08-05T22:00:00+09:00,PT60M
30,0,0,0,0,2025-08-05T23:00:00+09:00,PT60M
29,0,0,0,0,2025-08-06T00:00:00+09:00,PT60M
29,0,0,0,0,2025-08-06T01:00:00+09:00,PT60M
29,0,0,0,0,2025-08-06T02:00:00+09:00,PT60M
29,0,0,0,0,2025-08-06T03:00:00+09:00,PT60M
29,0,0,0,0,2025-08-06T04:00:00+09:00,PT60M
28,0,0,0,0,2025-08-06T05:00:00+09:00,PT60M
29,39,19,41,38,2025-08-06T06:00:00+09:00,PT60M
30,147,57,166,157,2025-08-06T07:00:00+09:00,PT60M
31,214,237,342,330,2025-08-06T08:00:00+09:00,PT60M
32,167,621,588,588,2025-08-06T09:00:00+09:00,PT60M
33,173,702,743,764,2025-08-06T10:00:00+09:00,PT60M
34,237,636,811,843,2025-08-06T11:00:00+09:00,PT60M
34,197,732,888,931,2025-08-06T12:00:00+09:00,PT60M
34,179,754,883,925,2025-08-06T13:00:00+09:00,PT60M
34,176,729,811,843,2025-08-06T14:00:00+09:00,PT60M
34,300,370,587,592,2025-08-06T15:00:00+09:00,PT60M
33,293,184,401,391,2025-08-06T16:00:00+09:00,PT60M
33,174,241,286,271,2025-08-06T17:00:00+09:00,PT60M
32,90,4,91,89,2025-08-06T18:00:00+09:00,PT60M
31,7,0,7,7,2025-08-06T19:00:00+09:00,PT60M
30,0,0,0,0,2025-08-06T20:00:00+09:00,PT60M
30,0,0,0,0,2025-08-06T21:00:00+09:00,PT60M
29,0,0,0,0,2025-08-06T22:00:00+09:00,PT60M
29,0,0,0,0,2025-08-06T23:00:00+09:00,PT60M
29,0,0,0,0,2025-08-07T00:00:00+09:00,PT60M
29,0,0,0,0,2025-08-07T01:00:00+09:00,PT60M
28,0,0,0,0,2025-08-07T02:00:00+09:00,PT60M
28,0,0,0,0,2025-08-07T03:00:00+09:00,PT60M
28,0,0,0,0,2025-08-07T04:00:00+09:00,PT60M
28,0,0,0,0,2025-08-07T05:00:00+09:00,PT60M
28,23,0,23,22,2025-08-07T06:00:00+09:00,PT60M
29,108,0,108,105,2025-08-07T07:00:00+09:00,PT60M
30,164,416,384,369,2025-08-07T08:00:00+09:00,PT60M
31,225,293,420,416,2025-08-07T09:00:00+09:00,PT60M
30,208,150,322,321,2025-08-07T10:00:00+09:00,PT60M
30,325,16,340,332,2025-08-07T11:00:00+09:00,PT60M
29,183,0,183,178,2025-08-07T12:00:00+09:00,PT60M
30,373,33,404,397,2025-08-07T13:00:00+09:00,PT60M
31,367,92,444,440,2025-08-07T14:00:00+09:00,PT60M
31,313,171,436,431,2025-08-07T15:00:00+09:00,PT60M
32,251,301,435,427,2025-08-07T16:00:00+09:00,PT60M
32,203,125,257,246,2025-08-07T17:00:00+09:00,PT60M
31,70,6,72,70,2025-08-07T18:00:00+09:00,PT60M
31,9,0,9,9,2025-08-07T19:00:00+09:00,PT60M
30,0,0,0,0,2025-08-07T20:00:00+09:00,PT60M
29,0,0,0,0,2025-08-07T21:00:00+09:00,PT60M
29,0,0,0,0,2025-08-07T22:00:00+09:00,PT60M
28,0,0,0,0,2025-08-07T23:00:00+09:00,PT60M
28,0,0,0,0,2025-08-08T00:00:00+09:00,PT60M
27,0,0,0,0,2025-08-08T01:00:00+09:00,PT60M
27,0,0,0,0,2025-08-08T02:00:00+09:00,PT60M
26,0,0,0,0,2025-08-08T03:00:00+09:00,PT60M
26,0,0,0,0,2025-08-08T04:00:00+09:00,PT60M
26,0,0,0,0,2025-08-08T05:00:00+09:00,PT60M
26,38,21,42,39,2025-08-08T06:00:00+09:00,PT60M
27,99,366,217,188,2025-08-08T07:00:00+09:00,PT60M
28,106,642,431,411,2025-08-08T08:00:00+09:00,PT60M
30,137,697,607,610,2025-08-08T09:00:00+09:00,PT60M
31,148,753,758,783,2025-08-08T10:00:00+09:00,PT60M
31,281,556,779,808,2025-08-08T11:00:00+09:00,PT60M
32,260,621,846,885,2025-08-08T12:00:00+09:00,PT60M
32,183,760,890,935,2025-08-08T13:00:00+09:00,PT60M
31,273,534,742,766,2025-08-08T14:00:00+09:00,PT60M
31,209,603,663,675,2025-08-08T15:00:00+09:00,PT60M
31,195,487,493,487,2025-08-08T16:00:00+09:00,PT60M
31,180,234,280,264,2025-08-08T17:00:00+09:00,PT60M
30,91,93,114,103,2025-08-08T18:00:00+09:00,PT60M
30,9,0,9,9,2025-08-08T19:00:00+09:00,PT60M
29,0,0,0,0,2025-08-08T20:00:00+09:00,PT60M
28,0,0,0,0,2025-08-08T21:00:00+09:00,PT60M
28,0,0,0,0,2025-08-08T22:00:00+09:00,PT60M
27,0,0,0,0,2025-08-08T23:00:00+09:00,PT60M
27,0,0,0,0,2025-08-09T00:00:00+09:00,PT60M
27,0,0,0,0,2025-08-09T01:00:00+09:00,PT60M
26,0,0,0,0,2025-08-09T02:00:00+09:00,PT60M
26,0,0,0,0,2025-08-09T03:00:00+09:00,PT60M
26,0,0,0,0,2025-08-09T04:00:00+09:00,PT60M
25,0,0,0,0,2025-08-09T05:00:00+09:00,PT60M
25,26,0,26,26,2025-08-09T06:00:00+09:00,PT60M
26,120,186,184,169,2025-08-09T07:00:00+09:00,PT60M
27,167,434,389,374,2025-08-09T08:00:00+09:00,PT60M
29,188,585,582,585,2025-08-09T09:00:00+09:00,PT60M
29,411,179,556,554,2025-08-09T10:00:00+09:00,PT60M
30,428,61,483,477,2025-08-09T11:00:00+09:00,PT60M
30,405,80,479,475,2025-08-09T12:00:00+09:00,PT60M
31,414,303,695,709,2025-08-09T13:00:00+09:00,PT60M
31,473,82,543,537,2025-08-09T14:00:00+09:00,PT60M
31,417,16,430,420,2025-08-09T15:00:00+09:00,PT60M
30,237,274,392,383,2025-08-09T16:00:00+09:00,PT60M
30,179,196,267,254,2025-08-09T17:00:00+09:00,PT60M
30,92,98,114,103,2025-08-09T18:00:00+09:00,PT60M
29,9,7,10,9,2025-08-09T19:00:00+09:00,PT60M
28,0,0,0,0,2025-08-09T20:00:00+09:00,PT60M
27,0,0,0,0,2025-08-09T21:00:00+09:00,PT60M
27,0,0,0,0,2025-08-09T22:00:00+09:00,PT60M
27,0,0,0,0,2025-08-09T23:00:00+09:00,PT60M
27,0,0,0,0,2025-08-10T00:00:00+09:00,PT60M
27,0,0,0,0,2025-08-10T01:00:00+09:00,PT60M
27,0,0,0,0,2025-08-10T02:00:00+09:00,PT60M
27,0,0,0,0,2025-08-10T03:00:00+09:00,PT60M
27,0,0,0,0,2025-08-10T04:00:00+09:00,PT60M
27,0,0,0,0,2025-08-10T05:00:00+09:00,PT60M
26,13,0,13,13,2025-08-10T06:00:00+09:00,PT60M
27,75,0,75,73,2025-08-10T07:00:00+09:00,PT60M
27,90,0,90,88,2025-08-10T08:00:00+09:00,PT60M
27,57,0,57,55,2025-08-10T09:00:00+09:00,PT60M
27,106,0,106,103,2025-08-10T10:00:00+09:00,PT60M
27,100,0,100,97,2025-08-10T11:00:00+09:00,PT60M
27,164,0,164,159,2025-08-10T12:00:00+09:00,PT60M
27,118,0,118,115,2025-08-10T13:00:00+09:00,PT60M
27,108,0,108,105,2025-08-10T14:00:00+09:00,PT60M
28,173,0,173,169,2025-08-10T15:00:00+09:00,PT60M
28,103,0,103,100,2025-08-10T16:00:00+09:00,PT60M
28,53,0,53,51,2025-08-10T17:00:00+09:00,PT60M
28,26,0,26,25,2025-08-10T18:00:00+09:00,PT60M
27,3,0,3,3,2025-08-10T19:00:00+09:00,PT60M
27,0,0,0,0,2025-08-10T20:00:00+09:00,PT60M
27,0,0,0,0,2025-08-10T21:00:00+09:00,PT60M
27,0,0,0,0,2025-08-10T22:00:00+09:00,PT60M
27,0,0,0,0,2025-08-10T23:00:00+09:00,PT60M
27,0,0,0,0,2025-08-11T00:00:00+09:00,PT60M
27,0,0,0,0,2025-08-11T01:00:00+09:00,PT60M
27,0,0,0,0,2025-08-11T02:00:00+09:00,PT60M
27,0,0,0,0,2025-08-11T03:00:00+09:00,PT60M
27,0,0,0,0,2025-08-11T04:00:00+09:00,PT60M
27,0,0,0,0,2025-08-11T05:00:00+09:00,PT60M
27,15,0,15,14,2025-08-11T06:00:00+09:00,PT60M
27,63,0,63,62,2025-08-11T07:00:00+09:00,PT60M
28,109,0,109,106,2025-08-11T08:00:00+09:00,PT60M
28,91,0,91,88,2025-08-11T09:00:00+09:00,PT60M
27,114,0,114,111,2025-08-11T10:00:00+09:00,PT60M
27,156,0,156,152,2025-08-11T11:00:00+09:00,PT60M
28,358,0,358,348,2025-08-11T12:00:00+09:00,PT60M
28,145,0,145,141,2025-08-11T13:00:00+09:00,PT60M
29,164,0,164,160,2025-08-11T14:00:00+09:00,PT60M
29,147,0,147,143,2025-08-11T15:00:00+09:00,PT60M
29,130,0,130,126,2025-08-11T16:00:00+09:00,PT60M
28,85,0,85,82,2025-08-11T17:00:00+09:00,PT60M
28,24,0,24,24,2025-08-11T18:00:00+09:00,PT60M
28,2,0,2,2,2025-08-11T19:00:00+09:00,PT60M
28,0,0,0,0,2025-08-11T20:00:00+09:00,PT60M
28,0,0,0,0,2025-08-11T21:00:00+09:00,PT60M
27,0,0,0,0,2025-08-11T22:00:00+09:00,PT60M
27,0,0,0,0,2025-08-11T23:00:00+09:00,PT60M
27,0,0,0,0,2025-08-12T00:00:00+09:00,PT60M
27,0,0,0,0,2025-08-12T01:00:00+09:00,PT60M
27,0,0,0,0,2025-08-12T02:00:00+09:00,PT60M
27,0,0,0,0,2025-08-12T03:00:00+09:00,PT60M
27,0,0,0,0,2025-08-12T04:00:00+09:00,PT60M
27,0,0,0,0,2025-08-12T05:00:00+09:00,PT60M
27,10,0,10,9,2025-08-12T06:00:00+09:00,PT60M
27,46,0,46,45,2025-08-12T07:00:00+09:00,PT60M
28,119,0,119,116,2025-08-12T08:00:00+09:00,PT60M
28,93,0,93,90,2025-08-12T09:00:00+09:00,PT60M
28,163,0,163,159,2025-08-12T10:00:00+09:00,PT60M
29,210,0,210,205,2025-08-12T11:00:00+09:00,PT60M
29,251,0,251,245,2025-08-12T12:00:00+09:00,PT60M
29,148,0,148,144,2025-08-12T13:00:00+09:00,PT60M
29,165,0,165,160,2025-08-12T14:00:00+09:00,PT60M
29,160,0,160,156,2025-08-12T15:00:00+09:00,PT60M
28,119,0,119,116,2025-08-12T16:00:00+09:00,PT60M
28,80,0,80,78,2025-08-12T17:00:00+09:00,PT60M
28,21,0,21,20,2025-08-12T18:00:00+09:00,PT60M
27,1,0,1,1,2025-08-12T19:00:00+09:00,PT60M
27,0,0,0,0,2025-08-12T20:00:00+09:00,PT60M
27,0,0,0,0,2025-08-12T21:00:00+09:00,PT60M
27,0,0,0,0,2025-08-12T22:00:00+09:00,PT60M
27,0,0,0,0,2025-08-12T23:00:00+09:00,PT60M
26,0,0,0,0,2025-08-13T00:00:00+09:00,PT60M
26,0,0,0,0,2025-08-13T01:00:00+09:00,PT60M
26,0,0,0,0,2025-08-13T02:00:00+09:00,PT60M
26,0,0,0,0,2025-08-13T03:00:00+09:00,PT60M
25,0,0,0,0,2025-08-13T04:00:00+09:00,PT60M
25,0,0,0,0,2025-08-13T05:00:00+09:00,PT60M
25,21,0,21,21,2025-08-13T06:00:00+09:00,PT60M
25,131,7,133,129,2025-08-13T07:00:00+09:00,PT60M
26,255,50,279,272,2025-08-13T08:00:00+09:00,PT60M
27,354,56,392,385,2025-08-13T09:00:00+09:00,PT60M
27,403,73,463,458,2025-08-13T10:00:00+09:00,PT60M
28,431,3,434,423,2025-08-13T11:00:00+09:00,PT60M
28,445,25,468,459,2025-08-13T12:00:00+09:00,PT60M
28,463,0,463,451,2025-08-13T13:00:00+09:00,PT60M
29,463,6,468,456,2025-08-13T14:00:00+09:00,PT60M
29,401,95,473,468,2025-08-13T15:00:00+09:00,PT60M
29,214,412,453,448,2025-08-13T16:00:00+09:00,PT60M
29,167,37,186,181,2025-08-13T17:00:00+09:00,PT60M
28,43,0,43,42,2025-08-13T18:00:00+09:00,PT60M
28,2,0,2,2,2025-08-13T19:00:00+09:00,PT60M
27,0,0,0,0,2025-08-13T20:00:00+09:00,PT60M
27,0,0,0,0,2025-08-13T21:00:00+09:00,PT60M
26,0,0,0,0,2025-08-13T22:00:00+09:00,PT60M
