air_temp,dhi,dni,ghi,gti,period_end,period
26,0,0,0,0,2025-08-01T01:00:00+09:00,PT60M
26,0,0,0,0,2025-08-01T02:00:00+09:00,PT60M
26,0,0,0,0,2025-08-01T03:00:00+09:00,PT60M
26,0,0,0,0,2025-08-01T04:00:00+09:00,PT60M
26,0,0,0,0,2025-08-01T05:00:00+09:00,PT60M
26,41,0,41,40,2025-08-01T06:00:00+09:00,PT60M
26,127,0,127,123,2025-08-01T07:00:00+09:00,PT60M
26,181,0,181,176,2025-08-01T08:00:00+09:00,PT60M
26,229,0,229,223,2025-08-01T09:00:00+09:00,PT60M
27,280,7,286,279,2025-08-01T10:00:00+09:00,PT60M
28,353,383,703,715,2025-08-01T11:00:00+09:00,PT60M
29,306,301,591,600,2025-08-01T12:00:00+09:00,PT60M
30,364,0,364,354,2025-08-01T13:00:00+09:00,PT60M
30,201,0,201,196,2025-08-01T14:00:00+09:00,PT60M
29,362,0,362,352,2025-08-01T15:00:00+09:00,PT60M
29,176,0,176,171,2025-08-01T16:00:00+09:00,PT60M
28,170,0,170,166,2025-08-01T17:00:00+09:00,PT60M
28,88,0,88,85,2025-08-01T18:00:00+09:00,PT60M
28,11,0,11,10,2025-08-01T19:00:00+09:00,PT60M
28,0,0,0,0,2025-08-01T20:00:00+09:00,PT60M
27,0,0,0,0,2025-08-01T21:00:00+09:00,PT60M
27,0,0,0,0,2025-08-01T22:00:00+09:00,PT60M
27,0,0,0,0,2025-08-01T23:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T00:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T01:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T02:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T03:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T04:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T05:00:00+09:00,PT60M
28,17,0,17,16,2025-08-02T06:00:00+09:00,PT60M
28,130,0,130,126,2025-08-02T07:00:00+09:00,PT60M
28,147,0,147,143,2025-08-02T08:00:00+09:00,PT60M
29,298,0,298,290,2025-08-02T09:00:00+09:00,PT60M
31,439,62,491,482,2025-08-02T10:00:00+09:00,PT60M
32,238,600,787,811,2025-08-02T11:00:00+09:00,PT60M
32,144,806,909,950,2025-08-02T12:00:00+09:00,PT60M
32,159,780,892,930,2025-08-02T13:00:00+09:00,PT60M
32,172,732,814,840,2025-08-02T14:00:00+09:00,PT60M
32,218,576,656,661,2025-08-02T15:00:00+09:00,PT60M
31,174,538,507,494,2025-08-02T16:00:00+09:00,PT60M
31,135,443,329,301,2025-08-02T17:00:00+09:00,PT60M
30,93,30,102,96,2025-08-02T18:00:00+09:00,PT60M
29,11,0,11,10,2025-08-02T19:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T20:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T21:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T22:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T23:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T00:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T01:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T02:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T03:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T04:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T05:00:00+09:00,PT60M
27,37,155,63,43,2025-08-03T06:00:00+09:00,PT60M
28,111,332,214,182,2025-08-03T07:00:00+09:00,PT60M
29,209,252,350,337,2025-08-03T08:00:00+09:00,PT60M
30,231,462,539,533,2025-08-03T09:00:00+09:00,PT60M
31,363,274,589,590,2025-08-03T10:00:00+09:00,PT60M
32,368,352,691,702,2025-08-03T11:00:00+09:00,PT60M
32,249,628,845,878,2025-08-03T12:00:00+09:00,PT60M
33,384,371,731,747,2025-08-03T13:00:00+09:00,PT60M
