air_temp,dhi,dni,ghi,gti,period_end,period
26,0,0,0,0,2025-08-01T01:00:00+09:00,PT60M
26,0,0,0,0,2025-08-01T02:00:00+09:00,PT60M
26,0,0,0,0,2025-08-01T03:00:00+09:00,PT60M
26,0,0,0,0,2025-08-01T04:00:00+09:00,PT60M
25,0,0,0,0,2025-08-01T05:00:00+09:00,PT60M
25,39,0,39,38,2025-08-01T06:00:00+09:00,PT60M
26,134,34,143,136,2025-08-01T07:00:00+09:00,PT60M
26,202,4,203,198,2025-08-01T08:00:00+09:00,PT60M
26,237,0,237,230,2025-08-01T09:00:00+09:00,PT60M
27,269,0,269,262,2025-08-01T10:00:00+09:00,PT60M
28,353,370,693,705,2025-08-01T11:00:00+09:00,PT60M
29,312,308,603,612,2025-08-01T12:00:00+09:00,PT60M
30,340,0,340,330,2025-08-01T13:00:00+09:00,PT60M
30,151,0,151,147,2025-08-01T14:00:00+09:00,PT60M
29,377,6,381,371,2025-08-01T15:00:00+09:00,PT60M
29,155,0,155,150,2025-08-01T16:00:00+09:00,PT60M
28,156,0,156,151,2025-08-01T17:00:00+09:00,PT60M
28,84,0,84,82,2025-08-01T18:00:00+09:00,PT60M
28,10,0,10,10,2025-08-01T19:00:00+09:00,PT60M
28,0,0,0,0,2025-08-01T20:00:00+09:00,PT60M
27,0,0,0,0,2025-08-01T21:00:00+09:00,PT60M
27,0,0,0,0,2025-08-01T22:00:00+09:00,PT60M
27,0,0,0,0,2025-08-01T23:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T00:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T01:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T02:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T03:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T04:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T05:00:00+09:00,PT60M
28,19,0,19,18,2025-08-02T06:00:00+09:00,PT60M
28,120,0,120,117,2025-08-02T07:00:00+09:00,PT60M
28,159,0,159,155,2025-08-02T08:00:00+09:00,PT60M
30,316,4,319,310,2025-08-02T09:00:00+09:00,PT60M
31,417,91,492,485,2025-08-02T10:00:00+09:00,PT60M
32,248,582,781,805,2025-08-02T11:00:00+09:00,PT60M
33,144,806,909,950,2025-08-02T12:00:00+09:00,PT60M
33,155,788,894,932,2025-08-02T13:00:00+09:00,PT60M
33,184,707,806,831,2025-08-02T14:00:00+09:00,PT60M
33,163,692,693,702,2025-08-02T15:00:00+09:00,PT60M
32,184,517,502,489,2025-08-02T16:00:00+09:00,PT60M
31,127,459,335,307,2025-08-02T17:00:00+09:00,PT60M
30,99,7,101,98,2025-08-02T18:00:00+09:00,PT60M
29,11,0,11,10,2025-08-02T19:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T20:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T21:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T22:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T23:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T00:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T01:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T02:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T03:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T04:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T05:00:00+09:00,PT60M
27,43,100,58,44,2025-08-03T06:00:00+09:00,PT60M
28,128,219,201,179,2025-08-03T07:00:00+09:00,PT60M
29,199,302,363,348,2025-08-03T08:00:00+09:00,PT60M
30,177,599,581,576,2025-08-03T09:00:00+09:00,PT60M
31,374,255,581,581,2025-08-03T10:00:00+09:00,PT60M
32,362,332,668,677,2025-08-03T11:00:00+09:00,PT60M
33,266,597,833,864,2025-08-03T12:00:00+09:00,PT60M
34,367,407,748,766,2025-08-03T13:00:00+09:00,PT60M
