air_temp,dhi,dni,ghi,gti,period_end,period
25,0,0,0,0,2025-08-01T01:00:00+09:00,PT60M
25,0,0,0,0,2025-08-01T02:00:00+09:00,PT60M
25,0,0,0,0,2025-08-01T03:00:00+09:00,PT60M
25,0,0,0,0,2025-08-01T04:00:00+09:00,PT60M
25,0,0,0,0,2025-08-01T05:00:00+09:00,PT60M
25,30,0,30,29,2025-08-01T06:00:00+09:00,PT60M
25,122,0,122,119,2025-08-01T07:00:00+09:00,PT60M
26,193,0,193,188,2025-08-01T08:00:00+09:00,PT60M
26,229,0,229,223,2025-08-01T09:00:00+09:00,PT60M
27,318,0,318,309,2025-08-01T10:00:00+09:00,PT60M
28,400,277,656,662,2025-08-01T11:00:00+09:00,PT60M
29,320,347,649,662,2025-08-01T12:00:00+09:00,PT60M
29,318,0,318,309,2025-08-01T13:00:00+09:00,PT60M
30,260,0,260,253,2025-08-01T14:00:00+09:00,PT60M
29,272,0,272,264,2025-08-01T15:00:00+09:00,PT60M
28,189,0,189,183,2025-08-01T16:00:00+09:00,PT60M
28,147,0,147,143,2025-08-01T17:00:00+09:00,PT60M
28,87,0,87,84,2025-08-01T18:00:00+09:00,PT60M
28,11,0,11,11,2025-08-01T19:00:00+09:00,PT60M
27,0,0,0,0,2025-08-01T20:00:00+09:00,PT60M
27,0,0,0,0,2025-08-01T21:00:00+09:00,PT60M
27,0,0,0,0,2025-08-01T22:00:00+09:00,PT60M
27,0,0,0,0,2025-08-01T23:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T00:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T01:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T02:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T03:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T04:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T05:00:00+09:00,PT60M
27,26,0,26,25,2025-08-02T06:00:00+09:00,PT60M
28,123,0,123,120,2025-08-02T07:00:00+09:00,PT60M
29,167,0,167,163,2025-08-02T08:00:00+09:00,PT60M
30,308,11,316,308,2025-08-02T09:00:00+09:00,PT60M
31,386,164,525,522,2025-08-02T10:00:00+09:00,PT60M
33,201,678,820,848,2025-08-02T11:00:00+09:00,PT60M
33,141,814,913,955,2025-08-02T12:00:00+09:00,PT60M
33,153,793,898,937,2025-08-02T13:00:00+09:00,PT60M
33,161,755,824,851,2025-08-02T14:00:00+09:00,PT60M
33,158,705,700,709,2025-08-02T15:00:00+09:00,PT60M
32,123,682,546,533,2025-08-02T16:00:00+09:00,PT60M
31,137,404,326,302,2025-08-02T17:00:00+09:00,PT60M
30,89,0,89,87,2025-08-02T18:00:00+09:00,PT60M
29,12,0,12,12,2025-08-02T19:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T20:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T21:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T22:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T23:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T00:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T01:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T02:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T03:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T04:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T05:00:00+09:00,PT60M
27,41,105,57,43,2025-08-03T06:00:00+09:00,PT60M
27,115,305,209,180,2025-08-03T07:00:00+09:00,PT60M
29,227,185,331,320,2025-08-03T08:00:00+09:00,PT60M
30,209,523,560,554,2025-08-03T09:00:00+09:00,PT60M
31,366,278,593,594,2025-08-03T10:00:00+09:00,PT60M
32,429,226,638,641,2025-08-03T11:00:00+09:00,PT60M
33,229,669,864,900,2025-08-03T12:00:00+09:00,PT60M
34,316,510,795,820,2025-08-03T13:00:00+09:00,PT60M
34,310,474,723,739,2025-08-03T14:00:00+09:00,PT60M
34,178,663,688,697,2025-08-03T15:00:00+09:00,PT60M
34,185,516,507,496,2025-08-03T16:00:00+09:00,PT60M
33,196,154,270,258,2025-08-03T17:00:00+09:00,PT60M
32,69,0,69,68,2025-08-03T18:00:00+09:00,PT60M
31,7,0,7,6,2025-08-03T19:00:00+09:00,PT60M
30,0,0,0,0,2025-08-03T20:00:00+09:00,PT60M
30,0,0,0,0,2025-08-03T21:00:00+09:00,PT60M
29,0,0,0,0,2025-08-03T22:00:00+09:00,PT60M
