air_temp,dhi,dni,ghi,gti,period_end,period
26,0,0,0,0,2025-08-01T01:00:00+09:00,PT60M
25,0,0,0,0,2025-08-01T02:00:00+09:00,PT60M
25,0,0,0,0,2025-08-01T03:00:00+09:00,PT60M
25,0,0,0,0,2025-08-01T04:00:00+09:00,PT60M
25,0,0,0,0,2025-08-01T05:00:00+09:00,PT60M
25,30,0,30,29,2025-08-01T06:00:00+09:00,PT60M
25,115,0,115,112,2025-08-01T07:00:00+09:00,PT60M
26,177,0,177,172,2025-08-01T08:00:00+09:00,PT60M
26,201,0,201,196,2025-08-01T09:00:00+09:00,PT60M
27,299,4,302,295,2025-08-01T10:00:00+09:00,PT60M
27,361,369,699,711,2025-08-01T11:00:00+09:00,PT60M
28,306,336,625,637,2025-08-01T12:00:00+09:00,PT60M
29,298,0,298,290,2025-08-01T13:00:00+09:00,PT60M
30,240,0,240,233,2025-08-01T14:00:00+09:00,PT60M
29,325,0,325,316,2025-08-01T15:00:00+09:00,PT60M
29,181,0,181,177,2025-08-01T16:00:00+09:00,PT60M
28,164,0,164,159,2025-08-01T17:00:00+09:00,PT60M
28,91,0,91,89,2025-08-01T18:00:00+09:00,PT60M
28,12,0,12,12,2025-08-01T19:00:00+09:00,PT60M
27,0,0,0,0,2025-08-01T20:00:00+09:00,PT60M
27,0,0,0,0,2025-08-01T21:00:00+09:00,PT60M
27,0,0,0,0,2025-08-01T22:00:00+09:00,PT60M
27,0,0,0,0,2025-08-01T23:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T00:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T01:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T02:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T03:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T04:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T05:00:00+09:00,PT60M
28,25,0,25,24,2025-08-02T06:00:00+09:00,PT60M
28,125,0,125,121,2025-08-02T07:00:00+09:00,PT60M
28,156,0,156,152,2025-08-02T08:00:00+09:00,PT60M
29,295,14,305,297,2025-08-02T09:00:00+09:00,PT60M
31,328,260,549,550,2025-08-02T10:00:00+09:00,PT60M
32,183,713,833,862,2025-08-02T11:00:00+09:00,PT60M
32,145,806,910,951,2025-08-02T12:00:00+09:00,PT60M
32,157,785,895,932,2025-08-02T13:00:00+09:00,PT60M
32,168,742,819,845,2025-08-02T14:00:00+09:00,PT60M
32,164,692,695,703,2025-08-02T15:00:00+09:00,PT60M
31,123,679,544,530,2025-08-02T16:00:00+09:00,PT60M
30,117,490,340,312,2025-08-02T17:00:00+09:00,PT60M
30,89,0,89,86,2025-08-02T18:00:00+09:00,PT60M
29,13,0,13,12,2025-08-02T19:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T20:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T21:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T22:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T23:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T00:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T01:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T02:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T03:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T04:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T05:00:00+09:00,PT60M
27,37,152,62,43,2025-08-03T06:00:00+09:00,PT60M
27,104,365,219,185,2025-08-03T07:00:00+09:00,PT60M
28,223,192,331,320,2025-08-03T08:00:00+09:00,PT60M
30,220,491,547,540,2025-08-03T09:00:00+09:00,PT60M
31,381,235,574,574,2025-08-03T10:00:00+09:00,PT60M
32,420,205,609,611,2025-08-03T11:00:00+09:00,PT60M
32,245,637,849,883,2025-08-03T12:00:00+09:00,PT60M
33,371,399,746,763,2025-08-03T13:00:00+09:00,PT60M
33,319,450,711,725,2025-08-03T14:00:00+09:00,PT60M
33,162,694,695,704,2025-08-03T15:00:00+09:00,PT60M
33,166,568,517,506,2025-08-03T16:00:00+09:00,PT60M
32,185,195,278,264,2025-08-03T17:00:00+09:00,PT60M
31,74,2,75,73,2025-08-03T18:00:00+09:00,PT60M
30,6,0,6,6,2025-08-03T19:00:00+09:00,PT60M
30,0,0,0,0,2025-08-03T20:00:00+09:00,PT60M
29,0,0,0,0,2025-08-03T21:00:00+09:00,PT60M
29,0,0,0,0,2025-08-03T22:00:00+09:00,PT60M
29,0,0,0,0,2025-08-03T23:00:00+09:00,PT60M
29,0,0,0,0,2025-08-04T00:00:00+09:00,PT60M
28,0,0,0,0,2025-08-04T01:00:00+09:00,PT60M
28,0,0,0,0,2025-08-04T02:00:00+09:00,PT60M
28,0,0,0,0,2025-08-04T03:00:00+09:00,PT60M
28,0,0,0,0,2025-08-04T04:00:00+09:00,PT60M
28,0,0,0,0,2025-08-04T05:00:00+09:00,PT60M
28,40,81,53,42,2025-08-04T06:00:00+09:00,PT60M
29,109,322,212,183,2025-08-04T07:00:00+09:00,PT60M
30,153,483,405,384,2025-08-04T08:00:00+09:00,PT60M
31,158,653,603,601,2025-08-04T09:00:00+09:00,PT60M
32,168,725,759,778,2025-08-04T10:00:00+09:00,PT60M
32,179,757,865,899,2025-08-04T11:00:00+09:00,PT60M
33,184,770,913,955,2025-08-04T12:00:00+09:00,PT60M
33,190,757,900,939,2025-08-04T13:00:00+09:00,PT60M
33,192,724,824,853,2025-08-04T14:00:00+09:00,PT60M
33,180,679,698,709,2025-08-04T15:00:00+09:00,PT60M
32,130,679,547,535,2025-08-04T16:00:00+09:00,PT60M
32,131,451,335,309,2025-08-04T17:00:00+09:00,PT60M
31,104,77,126,116,2025-08-04T18:00:00+09:00,PT60M
30,15,10,16,14,2025-08-04T19:00:00+09:00,PT60M
29,0,0,0,0,2025-08-04T20:00:00+09:00,PT60M
29,0,0,0,0,2025-08-04T21:00:00+09:00,PT60M
28,0,0,0,0,2025-08-04T22:00:00+09:00,PT60M
28,0,0,0,0,2025-08-04T23:00:00+09:00,PT60M
28,0,0,0,0,2025-08-05T00:00:00+09:00,PT60M
28,0,0,0,0,2025-08-05T01:00:00+09:00,PT60M
28,0,0,0,0,2025-08-05T02:00:00+09:00,PT60M
27,0,0,0,0,2025-08-05T03:00:00+09:00,PT60M
27,0,0,0,0,2025-08-05T04:00:00+09:00,PT60M
27,0,0,0,0,2025-08-05T05:00:00+09:00,PT60M
27,40,85,53,42,2025-08-05T06:00:00+09:00,PT60M
28,101,344,215,186,2025-08-05T07:00:00+09:00,PT60M
30,134,545,413,392,2025-08-05T08:00:00+09:00,PT60M
31,157,647,597,595,2025-08-05T09:00:00+09:00,PT60M
32,142,757,758,779,2025-08-05T10:00:00+09:00,PT60M
33,156,775,857,893,2025-08-05T11:00:00+09:00,PT60M
34,172,769,899,942,2025-08-05T12:00:00+09:00,PT60M
34,184,747,882,923,2025-08-05T13:00:00+09:00,PT60M
35,194,701,805,834,2025-08-05T14:00:00+09:00,PT60M
34,193,633,676,686,2025-08-05T15:00:00+09:00,PT60M
34,199,479,488,477,2025-08-05T16:00:00+09:00,PT60M
33,157,254,278,264,2025-08-05T17:00:00+09:00,PT60M
32,84,0,84,81,2025-08-05T18:00:00+09:00,PT60M
31,12,9,13,12,2025-08-05T19:00:00+09:00,PT60M
31,0,0,0,0,2025-08-05T20:00:00+09:00,PT60M
30,0,0,0,0,2025-08-05T21:00:00+09:00,PT60M
30,0,0,0,0,2025-08-05T22:00:00+09:00,PT60M
30,0,0,0,0,2025-08-05T23:00:00+09:00,PT60M
29,0,0,0,0,2025-08-06T00:00:00+09:00,PT60M
29,0,0,0,0,2025-08-06T01:00:00+09:00,PT60M
29,0,0,0,0,2025-08-06T02:00:00+09:00,PT60M
29,0,0,0,0,2025-08-06T03:00:00+09:00,PT60M
29,0,0,0,0,2025-08-06T04:00:00+09:00,PT60M
28,0,0,0,0,2025-08-06T05:00:00+09:00,PT60M
29,38,19,40,37,2025-08-06T06:00:00+09:00,PT60M
30,146,64,167,158,2025-08-06T07:00:00+09:00,PT60M
31,208,263,348,335,2025-08-06T08:00:00+09:00,PT60M
32,169,614,585,585,2025-08-06T09:00:00+09:00,PT60M
33,174,698,741,762,2025-08-06T10:00:00+09:00,PT60M
33,227,653,816,848,2025-08-06T11:00:00+09:00,PT60M
34,194,735,888,930,2025-08-06T12:00:00+09:00,PT60M
34,176,756,882,924,2025-08-06T13:00:00+09:00,PT60M
34,176,727,810,841,2025-08-06T14:00:00+09:00,PT60M
34,287,395,595,600,2025-08-06T15:00:00+09:00,PT60M
33,293,181,399,389,2025-08-06T16:00:00+09:00,PT60M
32,174,240,286,271,2025-08-06T17:00:00+09:00,PT60M
32,89,6,91,88,2025-08-06T18:00:00+09:00,PT60M
31,7,0,7,7,2025-08-06T19:00:00+09:00,PT60M
30,0,0,0,0,2025-08-06T20:00:00+09:00,PT60M
30,0,0,0,0,2025-08-06T21:00:00+09:00,PT60M
29,0,0,0,0,2025-08-06T22:00:00+09:00,PT60M
29,0,0,0,0,2025-08-06T23:00:00+09:00,PT60M
29,0,0,0,0,2025-08-07T00:00:00+09:00,PT60M
29,0,0,0,0,2025-08-07T01:00:00+09:00,PT60M
28,0,0,0,0,2025-08-07T02:00:00+09:00,PT60M
28,0,0,0,0,2025-08-07T03:00:00+09:00,PT60M
28,0,0,0,0,2025-08-07T04:00:00+09:00,PT60M
28,0,0,0,0,2025-08-07T05:00:00+09:00,PT60M
28,23,0,23,22,2025-08-07T06:00:00+09:00,PT60M
29,108,0,108,105,2025-08-07T07:00:00+09:00,PT60M
30,162,420,385,370,2025-08-07T08:00:00+09:00,PT60M
31,220,330,438,434,2025-08-07T09:00:00+09:00,PT60M
30,216,155,335,334,2025-08-07T10:00:00+09:00,PT60M
30,326,16,340,333,2025-08-07T11:00:00+09:00,PT60M
29,182,0,182,177,2025-08-07T12:00:00+09:00,PT60M
30,362,27,388,380,2025-08-07T13:00:00+09:00,PT60M
31,358,91,435,431,2025-08-07T14:00:00+09:00,PT60M
31,310,174,435,430,2025-08-07T15:00:00+09:00,PT60M
32,252,295,432,424,2025-08-07T16:00:00+09:00,PT60M
32,205,108,252,241,2025-08-07T17:00:00+09:00,PT60M
31,68,5,70,68,2025-08-07T18:00:00+09:00,PT60M
31,10,0,10,9,2025-08-07T19:00:00+09:00,PT60M
30,0,0,0,0,2025-08-07T20:00:00+09:00,PT60M
29,0,0,0,0,2025-08-07T21:00:00+09:00,PT60M
29,0,0,0,0,2025-08-07T22:00:00+09:00,PT60M
29,0,0,0,0,2025-08-07T23:00:00+09:00,PT60M
28,0,0,0,0,2025-08-08T00:00:00+09:00,PT60M
27,0,0,0,0,2025-08-08T01:00:00+09:00,PT60M
27,0,0,0,0,2025-08-08T02:00:00+09:00,PT60M
26,0,0,0,0,2025-08-08T03:00:00+09:00,PT60M
26,0,0,0,0,2025-08-08T04:00:00+09:00,PT60M
26,0,0,0,0,2025-08-08T05:00:00+09:00,PT60M
26,39,17,42,39,2025-08-08T06:00:00+09:00,PT60M
27,101,355,215,187,2025-08-08T07:00:00+09:00,PT60M
28,109,629,428,408,2025-08-08T08:00:00+09:00,PT60M
29,142,683,603,605,2025-08-08T09:00:00+09:00,PT60M
30,159,728,749,773,2025-08-08T10:00:00+09:00,PT60M
31,265,585,789,819,2025-08-08T11:00:00+09:00,PT60M
32,223,686,870,912,2025-08-08T12:00:00+09:00,PT60M
32,187,749,884,929,2025-08-08T13:00:00+09:00,PT60M
31,237,617,775,803,2025-08-08T14:00:00+09:00,PT60M
31,213,593,659,671,2025-08-08T15:00:00+09:00,PT60M
31,183,520,500,493,2025-08-08T16:00:00+09:00,PT60M
31,177,239,280,264,2025-08-08T17:00:00+09:00,PT60M
30,91,98,114,103,2025-08-08T18:00:00+09:00,PT60M
29,9,0,9,9,2025-08-08T19:00:00+09:00,PT60M
29,0,0,0,0,2025-08-08T20:00:00+09:00,PT60M
28,0,0,0,0,2025-08-08T21:00:00+09:00,PT60M
28,0,0,0,0,2025-08-08T22:00:00+09:00,PT60M
27,0,0,0,0,2025-08-08T23:00:00+09:00,PT60M
27,0,0,0,0,2025-08-09T00:00:00+09:00,PT60M
27,0,0,0,0,2025-08-09T01:00:00+09:00,PT60M
26,0,0,0,0,2025-08-09T02:00:00+09:00,PT60M
26,0,0,0,0,2025-08-09T03:00:00+09:00,PT60M
26,0,0,0,0,2025-08-09T04:00:00+09:00,PT60M
25,0,0,0,0,2025-08-09T05:00:00+09:00,PT60M
25,26,0,26,25,2025-08-09T06:00:00+09:00,PT60M
26,119,181,182,167,2025-08-09T07:00:00+09:00,PT60M
28,168,424,386,371,2025-08-09T08:00:00+09:00,PT60M
29,187,583,580,583,2025-08-09T09:00:00+09:00,PT60M
29,402,201,563,563,2025-08-09T10:00:00+09:00,PT60M
30,425,63,483,477,2025-08-09T11:00:00+09:00,PT60M
30,406,74,475,471,2025-08-09T12:00:00+09:00,PT60M
30,405,322,703,718,2025-08-09T13:00:00+09:00,PT60M
30,463,118,565,561,2025-08-09T14:00:00+09:00,PT60M
30,418,11,426,416,2025-08-09T15:00:00+09:00,PT60M
30,235,280,394,385,2025-08-09T16:00:00+09:00,PT60M
30,174,213,269,256,2025-08-09T17:00:00+09:00,PT60M
29,92,97,114,102,2025-08-09T18:00:00+09:00,PT60M
28,8,7,9,8,2025-08-09T19:00:00+09:00,PT60M
28,0,0,0,0,2025-08-09T20:00:00+09:00,PT60M
27,0,0,0,0,2025-08-09T21:00:00+09:00,PT60M
27,0,0,0,0,2025-08-09T22:00:00+09:00,PT60M
27,0,0,0,0,2025-08-09T23:00:00+09:00,PT60M
27,0,0,0,0,2025-08-10T00:00:00+09:00,PT60M
27,0,0,0,0,2025-08-10T01:00:00+09:00,PT60M
27,0,0,0,0,2025-08-10T02:00:00+09:00,PT60M
27,0,0,0,0,2025-08-10T03:00:00+09:00,PT60M
27,0,0,0,0,2025-08-10T04:00:00+09:00,PT60M
27,0,0,0,0,2025-08-10T05:00:00+09:00,PT60M
27,13,0,13,13,2025-08-10T06:00:00+09:00,PT60M
27,75,0,75,73,2025-08-10T07:00:00+09:00,PT60M
27,90,0,90,88,2025-08-10T08:00:00+09:00,PT60M
27,57,0,57,56,2025-08-10T09:00:00+09:00,PT60M
27,104,0,104,102,2025-08-10T10:00:00+09:00,PT60M
27,98,0,98,96,2025-08-10T11:00:00+09:00,PT60M
27,164,0,164,160,2025-08-10T12:00:00+09:00,PT60M
27,121,0,121,118,2025-08-10T13:00:00+09:00,PT60M
27,103,0,103,100,2025-08-10T14:00:00+09:00,PT60M
28,174,0,174,169,2025-08-10T15:00:00+09:00,PT60M
28,99,0,99,97,2025-08-10T16:00:00+09:00,PT60M
28,50,0,50,49,2025-08-10T17:00:00+09:00,PT60M
28,24,0,24,24,2025-08-10T18:00:00+09:00,PT60M
27,3,0,3,3,2025-08-10T19:00:00+09:00,PT60M
27,0,0,0,0,2025-08-10T20:00:00+09:00,PT60M
27,0,0,0,0,2025-08-10T21:00:00+09:00,PT60M
27,0,0,0,0,2025-08-10T22:00:00+09:00,PT60M
27,0,0,0,0,2025-08-10T23:00:00+09:00,PT60M
27,0,0,0,0,2025-08-11T00:00:00+09:00,PT60M
27,0,0,0,0,2025-08-11T01:00:00+09:00,PT60M
27,0,0,0,0,2025-08-11T02:00:00+09:00,PT60M
27,0,0,0,0,2025-08-11T03:00:00+09:00,PT60M
27,0,0,0,0,2025-08-11T04:00:00+09:00,PT60M
27,0,0,0,0,2025-08-11T05:00:00+09:00,PT60M
27,14,0,14,14,2025-08-11T06:00:00+09:00,PT60M
27,64,0,64,62,2025-08-11T07:00:00+09:00,PT60M
28,108,0,108,105,2025-08-11T08:00:00+09:00,PT60M
28,88,0,88,86,2025-08-11T09:00:00+09:00,PT60M
27,112,0,112,109,2025-08-11T10:00:00+09:00,PT60M
27,147,0,147,143,2025-08-11T11:00:00+09:00,PT60M
28,335,0,335,326,2025-08-11T12:00:00+09:00,PT60M
28,140,0,140,136,2025-08-11T13:00:00+09:00,PT60M
28,161,0,161,157,2025-08-11T14:00:00+09:00,PT60M
29,141,0,141,137,2025-08-11T15:00:00+09:00,PT60M
28,126,0,126,123,2025-08-11T16:00:00+09:00,PT60M
28,85,0,85,82,2025-08-11T17:00:00+09:00,PT60M
28,24,0,24,24,2025-08-11T18:00:00+09:00,PT60M
28,2,0,2,2,2025-08-11T19:00:00+09:00,PT60M
28,0,0,0,0,2025-08-11T20:00:00+09:00,PT60M
28,0,0,0,0,2025-08-11T21:00:00+09:00,PT60M
27,0,0,0,0,2025-08-11T22:00:00+09:00,PT60M
27,0,0,0,0,2025-08-11T23:00:00+09:00,PT60M
27,0,0,0,0,2025-08-12T00:00:00+09:00,PT60M
27,0,0,0,0,2025-08-12T01:00:00+09:00,PT60M
27,0,0,0,0,2025-08-12T02:00:00+09:00,PT60M
27,0,0,0,0,2025-08-12T03:00:00+09:00,PT60M
27,0,0,0,0,2025-08-12T04:00:00+09:00,PT60M
27,0,0,0,0,2025-08-12T05:00:00+09:00,PT60M
27,10,0,10,10,2025-08-12T06:00:00+09:00,PT60M
27,46,0,46,45,2025-08-12T07:00:00+09:00,PT60M
28,122,0,122,118,2025-08-12T08:00:00+09:00,PT60M
28,96,0,96,93,2025-08-12T09:00:00+09:00,PT60M
28,164,0,164,159,2025-08-12T10:00:00+09:00,PT60M
29,208,0,208,202,2025-08-12T11:00:00+09:00,PT60M
29,249,0,249,242,2025-08-12T12:00:00+09:00,PT60M
29,147,0,147,143,2025-08-12T13:00:00+09:00,PT60M
29,163,0,163,159,2025-08-12T14:00:00+09:00,PT60M
29,161,0,161,157,2025-08-12T15:00:00+09:00,PT60M
28,119,0,119,116,2025-08-12T16:00:00+09:00,PT60M
28,80,0,80,77,2025-08-12T17:00:00+09:00,PT60M
28,21,0,21,20,2025-08-12T18:00:00+09:00,PT60M
27,1,0,1,1,2025-08-12T19:00:00+09:00,PT60M
27,0,0,0,0,2025-08-12T20:00:00+09:00,PT60M
27,0,0,0,0,2025-08-12T21:00:00+09:00,PT60M
27,0,0,0,0,2025-08-12T22:00:00+09:00,PT60M
27,0,0,0,0,2025-08-12T23:00:00+09:00,PT60M
27,0,0,0,0,2025-08-13T00:00:00+09:00,PT60M
26,0,0,0,0,2025-08-13T01:00:00+09:00,PT60M
26,0,0,0,0,2025-08-13T02:00:00+09:00,PT60M
26,0,0,0,0,2025-08-13T03:00:00+09:00,PT60M
26,0,0,0,0,2025-08-13T04:00:00+09:00,PT60M
25,0,0,0,0,2025-08-13T05:00:00+09:00,PT60M
25,21,0,21,21,2025-08-13T06:00:00+09:00,PT60M
26,128,5,130,126,2025-08-13T07:00:00+09:00,PT60M
26,253,46,275,267,2025-08-13T08:00:00+09:00,PT60M
27,351,52,387,379,2025-08-13T09:00:00+09:00,PT60M
27,399,91,475,471,2025-08-13T10:00:00+09:00,PT60M
28,433,3,436,424,2025-08-13T11:00:00+09:00,PT60M
28,434,33,464,456,2025-08-13T12:00:00+09:00,PT60M
28,471,1,472,459,2025-08-13T13:00:00+09:00,PT60M
28,455,9,462,450,2025-08-13T14:00:00+09:00,PT60M
29,400,93,471,466,2025-08-13T15:00:00+09:00,PT60M
29,221,388,443,438,2025-08-13T16:00:00+09:00,PT60M
29,169,44,190,185,2025-08-13T17:00:00+09:00,PT60M
28,42,0,42,41,2025-08-13T18:00:00+09:00,PT60M
28,2,0,2,2,2025-08-13T19:00:00+09:00,PT60M
27,0,0,0,0,2025-08-13T20:00:00+09:00,PT60M
27,0,0,0,0,2025-08-13T21:00:00+09:00,PT60M
26,0,0,0,0,2025-08-13T22:00:00+09:00,PT60M
