air_temp,dhi,dni,ghi,gti,period_end,period
26,0,0,0,0,2025-08-01T01:00:00+09:00,PT60M
26,0,0,0,0,2025-08-01T02:00:00+09:00,PT60M
25,0,0,0,0,2025-08-01T03:00:00+09:00,PT60M
25,0,0,0,0,2025-08-01T04:00:00+09:00,PT60M
25,0,0,0,0,2025-08-01T05:00:00+09:00,PT60M
25,34,0,34,33,2025-08-01T06:00:00+09:00,PT60M
26,134,21,140,134,2025-08-01T07:00:00+09:00,PT60M
26,206,5,208,202,2025-08-01T08:00:00+09:00,PT60M
26,234,0,234,228,2025-08-01T09:00:00+09:00,PT60M
27,280,0,280,273,2025-08-01T10:00:00+09:00,PT60M
28,356,345,674,684,2025-08-01T11:00:00+09:00,PT60M
29,303,325,611,622,2025-08-01T12:00:00+09:00,PT60M
30,335,2,336,327,2025-08-01T13:00:00+09:00,PT60M
30,157,0,157,152,2025-08-01T14:00:00+09:00,PT60M
29,365,2,366,356,2025-08-01T15:00:00+09:00,PT60M
29,158,0,158,154,2025-08-01T16:00:00+09:00,PT60M
28,153,0,153,149,2025-08-01T17:00:00+09:00,PT60M
28,85,0,85,82,2025-08-01T18:00:00+09:00,PT60M
28,11,0,11,10,2025-08-01T19:00:00+09:00,PT60M
28,0,0,0,0,2025-08-01T20:00:00+09:00,PT60M
27,0,0,0,0,2025-08-01T21:00:00+09:00,PT60M
27,0,0,0,0,2025-08-01T22:00:00+09:00,PT60M
27,0,0,0,0,2025-08-01T23:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T00:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T01:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T02:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T03:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T04:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T05:00:00+09:00,PT60M
28,21,0,21,20,2025-08-02T06:00:00+09:00,PT60M
28,130,0,130,127,2025-08-02T07:00:00+09:00,PT60M
29,151,0,151,147,2025-08-02T08:00:00+09:00,PT60M
30,319,3,321,312,2025-08-02T09:00:00+09:00,PT60M
31,415,84,486,478,2025-08-02T10:00:00+09:00,PT60M
32,253,575,779,802,2025-08-02T11:00:00+09:00,PT60M
33,140,813,912,953,2025-08-02T12:00:00+09:00,PT60M
33,152,792,896,935,2025-08-02T13:00:00+09:00,PT60M
33,163,750,821,848,2025-08-02T14:00:00+09:00,PT60M
33,157,704,698,706,2025-08-02T15:00:00+09:00,PT60M
32,151,606,525,513,2025-08-02T16:00:00+09:00,PT60M
31,124,465,336,309,2025-08-02T17:00:00+09:00,PT60M
30,95,0,95,93,2025-08-02T18:00:00+09:00,PT60M
29,11,0,11,11,2025-08-02T19:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T20:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T21:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T22:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T23:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T00:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T01:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T02:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T03:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T04:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T05:00:00+09:00,PT60M
27,41,115,58,43,2025-08-03T06:00:00+09:00,PT60M
28,131,193,197,178,2025-08-03T07:00:00+09:00,PT60M
29,207,279,356,341,2025-08-03T08:00:00+09:00,PT60M
30,168,621,589,584,2025-08-03T09:00:00+09:00,PT60M
31,379,246,579,579,2025-08-03T10:00:00+09:00,PT60M
32,350,343,667,677,2025-08-03T11:00:00+09:00,PT60M
33,219,684,867,903,2025-08-03T12:00:00+09:00,PT60M
34,328,483,781,804,2025-08-03T13:00:00+09:00,PT60M
