air_temp,dhi,dni,ghi,gti,period_end,period
26,0,0,0,0,2025-08-01T01:00:00+09:00,PT60M
26,0,0,0,0,2025-08-01T02:00:00+09:00,PT60M
26,0,0,0,0,2025-08-01T03:00:00+09:00,PT60M
26,0,0,0,0,2025-08-01T04:00:00+09:00,PT60M
25,0,0,0,0,2025-08-01T05:00:00+09:00,PT60M
25,38,0,38,37,2025-08-01T06:00:00+09:00,PT60M
26,135,30,143,136,2025-08-01T07:00:00+09:00,PT60M
26,205,5,207,201,2025-08-01T08:00:00+09:00,PT60M
26,235,0,235,228,2025-08-01T09:00:00+09:00,PT60M
27,272,0,272,264,2025-08-01T10:00:00+09:00,PT60M
28,354,362,688,698,2025-08-01T11:00:00+09:00,PT60M
29,310,310,604,614,2025-08-01T12:00:00+09:00,PT60M
30,337,0,337,327,2025-08-01T13:00:00+09:00,PT60M
30,149,0,149,145,2025-08-01T14:00:00+09:00,PT60M
29,372,6,377,367,2025-08-01T15:00:00+09:00,PT60M
29,155,0,155,150,2025-08-01T16:00:00+09:00,PT60M
28,153,0,153,149,2025-08-01T17:00:00+09:00,PT60M
28,84,0,84,82,2025-08-01T18:00:00+09:00,PT60M
28,10,0,10,10,2025-08-01T19:00:00+09:00,PT60M
28,0,0,0,0,2025-08-01T20:00:00+09:00,PT60M
27,0,0,0,0,2025-08-01T21:00:00+09:00,PT60M
27,0,0,0,0,2025-08-01T22:00:00+09:00,PT60M
27,0,0,0,0,2025-08-01T23:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T00:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T01:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T02:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T03:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T04:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T05:00:00+09:00,PT60M
28,19,0,19,19,2025-08-02T06:00:00+09:00,PT60M
28,123,0,123,120,2025-08-02T07:00:00+09:00,PT60M
28,157,0,157,152,2025-08-02T08:00:00+09:00,PT60M
30,318,3,320,312,2025-08-02T09:00:00+09:00,PT60M
31,414,92,490,483,2025-08-02T10:00:00+09:00,PT60M
32,254,572,777,801,2025-08-02T11:00:00+09:00,PT60M
33,142,808,910,951,2025-08-02T12:00:00+09:00,PT60M
33,155,788,894,932,2025-08-02T13:00:00+09:00,PT60M
33,170,735,815,841,2025-08-02T14:00:00+09:00,PT60M
33,157,704,696,705,2025-08-02T15:00:00+09:00,PT60M
32,171,551,510,498,2025-08-02T16:00:00+09:00,PT60M
31,123,473,337,309,2025-08-02T17:00:00+09:00,PT60M
30,98,3,99,96,2025-08-02T18:00:00+09:00,PT60M
29,11,0,11,10,2025-08-02T19:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T20:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T21:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T22:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T23:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T00:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T01:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T02:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T03:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T04:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T05:00:00+09:00,PT60M
27,43,98,57,44,2025-08-03T06:00:00+09:00,PT60M
28,130,206,199,179,2025-08-03T07:00:00+09:00,PT60M
29,200,299,362,347,2025-08-03T08:00:00+09:00,PT60M
30,173,608,584,580,2025-08-03T09:00:00+09:00,PT60M
31,375,253,581,581,2025-08-03T10:00:00+09:00,PT60M
32,355,337,666,676,2025-08-03T11:00:00+09:00,PT60M
33,245,635,847,881,2025-08-03T12:00:00+09:00,PT60M
34,350,438,761,782,2025-08-03T13:00:00+09:00,PT60M
