air_temp,dhi,dni,ghi,gti,period_end,period
26,0,0,0,0,2025-08-01T01:00:00+09:00,PT60M
25,0,0,0,0,2025-08-01T02:00:00+09:00,PT60M
25,0,0,0,0,2025-08-01T03:00:00+09:00,PT60M
25,0,0,0,0,2025-08-01T04:00:00+09:00,PT60M
25,0,0,0,0,2025-08-01T05:00:00+09:00,PT60M
25,33,0,33,32,2025-08-01T06:00:00+09:00,PT60M
26,129,0,129,126,2025-08-01T07:00:00+09:00,PT60M
26,188,0,188,183,2025-08-01T08:00:00+09:00,PT60M
26,225,0,225,219,2025-08-01T09:00:00+09:00,PT60M
27,295,0,295,287,2025-08-01T10:00:00+09:00,PT60M
28,364,346,682,692,2025-08-01T11:00:00+09:00,PT60M
29,302,331,615,626,2025-08-01T12:00:00+09:00,PT60M
30,343,0,343,334,2025-08-01T13:00:00+09:00,PT60M
30,192,0,192,186,2025-08-01T14:00:00+09:00,PT60M
29,352,0,352,343,2025-08-01T15:00:00+09:00,PT60M
29,168,0,168,164,2025-08-01T16:00:00+09:00,PT60M
28,158,0,158,154,2025-08-01T17:00:00+09:00,PT60M
28,88,0,88,85,2025-08-01T18:00:00+09:00,PT60M
28,11,0,11,11,2025-08-01T19:00:00+09:00,PT60M
27,0,0,0,0,2025-08-01T20:00:00+09:00,PT60M
27,0,0,0,0,2025-08-01T21:00:00+09:00,PT60M
27,0,0,0,0,2025-08-01T22:00:00+09:00,PT60M
27,0,0,0,0,2025-08-01T23:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T00:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T01:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T02:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T03:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T04:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T05:00:00+09:00,PT60M
28,22,0,22,22,2025-08-02T06:00:00+09:00,PT60M
28,134,0,134,130,2025-08-02T07:00:00+09:00,PT60M
29,149,0,149,145,2025-08-02T08:00:00+09:00,PT60M
30,312,1,313,304,2025-08-02T09:00:00+09:00,PT60M
31,419,95,499,493,2025-08-02T10:00:00+09:00,PT60M
32,225,630,801,827,2025-08-02T11:00:00+09:00,PT60M
33,140,812,911,952,2025-08-02T12:00:00+09:00,PT60M
33,153,790,896,934,2025-08-02T13:00:00+09:00,PT60M
33,164,749,820,847,2025-08-02T14:00:00+09:00,PT60M
33,158,702,697,706,2025-08-02T15:00:00+09:00,PT60M
32,139,637,533,520,2025-08-02T16:00:00+09:00,PT60M
31,120,481,339,311,2025-08-02T17:00:00+09:00,PT60M
30,92,0,92,90,2025-08-02T18:00:00+09:00,PT60M
29,12,0,12,12,2025-08-02T19:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T20:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T21:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T22:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T23:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T00:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T01:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T02:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T03:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T04:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T05:00:00+09:00,PT60M
27,40,121,59,43,2025-08-03T06:00:00+09:00,PT60M
28,128,225,200,177,2025-08-03T07:00:00+09:00,PT60M
29,220,220,341,329,2025-08-03T08:00:00+09:00,PT60M
30,193,562,570,565,2025-08-03T09:00:00+09:00,PT60M
31,383,234,574,574,2025-08-03T10:00:00+09:00,PT60M
32,383,276,637,644,2025-08-03T11:00:00+09:00,PT60M
33,240,646,853,887,2025-08-03T12:00:00+09:00,PT60M
34,358,426,757,777,2025-08-03T13:00:00+09:00,PT60M
34,346,395,689,700,2025-08-03T14:00:00+09:00,PT60M
34,171,675,689,698,2025-08-03T15:00:00+09:00,PT60M
34,163,577,520,508,2025-08-03T16:00:00+09:00,PT60M
33,161,307,303,284,2025-08-03T17:00:00+09:00,PT60M
32,70,0,70,68,2025-08-03T18:00:00+09:00,PT60M
31,7,0,7,7,2025-08-03T19:00:00+09:00,PT60M
30,0,0,0,0,2025-08-03T20:00:00+09:00,PT60M
30,0,0,0,0,2025-08-03T21:00:00+09:00,PT60M
29,0,0,0,0,2025-08-03T22:00:00+09:00,PT60M
29,0,0,0,0,2025-08-03T23:00:00+09:00,PT60M
29,0,0,0,0,2025-08-04T00:00:00+09:00,PT60M
28,0,0,0,0,2025-08-04T01:00:00+09:00,PT60M
28,0,0,0,0,2025-08-04T02:00:00+09:00,PT60M
28,0,0,0,0,2025-08-04T03:00:00+09:00,PT60M
28,0,0,0,0,2025-08-04T04:00:00+09:00,PT60M
28,0,0,0,0,2025-08-04T05:00:00+09:00,PT60M
28,42,37,48,43,2025-08-04T06:00:00+09:00,PT60M
29,123,238,200,178,2025-08-04T07:00:00+09:00,PT60M
30,154,479,404,383,2025-08-04T08:00:00+09:00,PT60M
31,161,646,601,599,2025-08-04T09:00:00+09:00,PT60M
32,171,718,756,775,2025-08-04T10:00:00+09:00,PT60M
33,182,750,861,896,2025-08-04T11:00:00+09:00,PT60M
34,187,764,911,953,2025-08-04T12:00:00+09:00,PT60M
34,190,756,898,938,2025-08-04T13:00:00+09:00,PT60M
34,191,723,823,852,2025-08-04T14:00:00+09:00,PT60M
34,180,677,697,708,2025-08-04T15:00:00+09:00,PT60M
33,135,664,543,532,2025-08-04T16:00:00+09:00,PT60M
33,132,445,334,308,2025-08-04T17:00:00+09:00,PT60M
32,102,88,127,116,2025-08-04T18:00:00+09:00,PT60M
30,15,10,16,14,2025-08-04T19:00:00+09:00,PT60M
30,0,0,0,0,2025-08-04T20:00:00+09:00,PT60M
29,0,0,0,0,2025-08-04T21:00:00+09:00,PT60M
29,0,0,0,0,2025-08-04T22:00:00+09:00,PT60M
28,0,0,0,0,2025-08-04T23:00:00+09:00,PT60M
28,0,0,0,0,2025-08-05T00:00:00+09:00,PT60M
28,0,0,0,0,2025-08-05T01:00:00+09:00,PT60M
28,0,0,0,0,2025-08-05T02:00:00+09:00,PT60M
28,0,0,0,0,2025-08-05T03:00:00+09:00,PT60M
28,0,0,0,0,2025-08-05T04:00:00+09:00,PT60M
27,0,0,0,0,2025-08-05T05:00:00+09:00,PT60M
28,42,63,50,42,2025-08-05T06:00:00+09:00,PT60M
29,106,312,211,184,2025-08-05T07:00:00+09:00,PT60M
30,140,525,409,388,2025-08-05T08:00:00+09:00,PT60M
32,160,640,595,594,2025-08-05T09:00:00+09:00,PT60M
33,145,751,756,777,2025-08-05T10:00:00+09:00,PT60M
34,157,774,856,893,2025-08-05T11:00:00+09:00,PT60M
35,173,768,899,942,2025-08-05T12:00:00+09:00,PT60M
35,187,742,880,921,2025-08-05T13:00:00+09:00,PT60M
36,196,696,803,832,2025-08-05T14:00:00+09:00,PT60M
36,193,632,675,686,2025-08-05T15:00:00+09:00,PT60M
35,182,524,501,491,2025-08-05T16:00:00+09:00,PT60M
34,159,258,282,267,2025-08-05T17:00:00+09:00,PT60M
33,87,0,87,84,2025-08-05T18:00:00+09:00,PT60M
32,12,5,12,11,2025-08-05T19:00:00+09:00,PT60M
31,0,0,0,0,2025-08-05T20:00:00+09:00,PT60M
31,0,0,0,0,2025-08-05T21:00:00+09:00,PT60M
30,0,0,0,0,2025-08-05T22:00:00+09:00,PT60M
30,0,0,0,0,2025-08-05T23:00:00+09:00,PT60M
30,0,0,0,0,2025-08-06T00:00:00+09:00,PT60M
30,0,0,0,0,2025-08-06T01:00:00+09:00,PT60M
29,0,0,0,0,2025-08-06T02:00:00+09:00,PT60M
29,0,0,0,0,2025-08-06T03:00:00+09:00,PT60M
29,0,0,0,0,2025-08-06T04:00:00+09:00,PT60M
29,0,0,0,0,2025-08-06T05:00:00+09:00,PT60M
29,39,25,43,39,2025-08-06T06:00:00+09:00,PT60M
30,150,39,163,156,2025-08-06T07:00:00+09:00,PT60M
31,228,161,317,308,2025-08-06T08:00:00+09:00,PT60M
32,170,612,585,585,2025-08-06T09:00:00+09:00,PT60M
33,174,698,741,761,2025-08-06T10:00:00+09:00,PT60M
34,285,546,777,804,2025-08-06T11:00:00+09:00,PT60M
35,271,601,838,874,2025-08-06T12:00:00+09:00,PT60M
35,204,709,866,906,2025-08-06T13:00:00+09:00,PT60M
35,217,648,783,811,2025-08-06T14:00:00+09:00,PT60M
35,354,246,542,541,2025-08-06T15:00:00+09:00,PT60M
34,300,149,385,375,2025-08-06T16:00:00+09:00,PT60M
33,182,209,279,265,2025-08-06T17:00:00+09:00,PT60M
32,89,8,92,89,2025-08-06T18:00:00+09:00,PT60M
31,6,0,6,6,2025-08-06T19:00:00+09:00,PT60M
31,0,0,0,0,2025-08-06T20:00:00+09:00,PT60M
30,0,0,0,0,2025-08-06T21:00:00+09:00,PT60M
30,0,0,0,0,2025-08-06T22:00:00+09:00,PT60M
29,0,0,0,0,2025-08-06T23:00:00+09:00,PT60M
29,0,0,0,0,2025-08-07T00:00:00+09:00,PT60M
29,0,0,0,0,2025-08-07T01:00:00+09:00,PT60M
29,0,0,0,0,2025-08-07T02:00:00+09:00,PT60M
29,0,0,0,0,2025-08-07T03:00:00+09:00,PT60M
28,0,0,0,0,2025-08-07T04:00:00+09:00,PT60M
28,0,0,0,0,2025-08-07T05:00:00+09:00,PT60M
28,23,0,23,22,2025-08-07T06:00:00+09:00,PT60M
29,104,0,104,101,2025-08-07T07:00:00+09:00,PT60M
30,167,402,379,364,2025-08-07T08:00:00+09:00,PT60M
31,257,116,338,332,2025-08-07T09:00:00+09:00,PT60M
30,188,102,265,263,2025-08-07T10:00:00+09:00,PT60M
30,302,9,310,303,2025-08-07T11:00:00+09:00,PT60M
29,188,0,188,183,2025-08-07T12:00:00+09:00,PT60M
30,410,45,452,444,2025-08-07T13:00:00+09:00,PT60M
31,396,123,499,496,2025-08-07T14:00:00+09:00,PT60M
31,328,149,434,428,2025-08-07T15:00:00+09:00,PT60M
32,264,269,426,418,2025-08-07T16:00:00+09:00,PT60M
32,193,165,266,253,2025-08-07T17:00:00+09:00,PT60M
32,72,7,75,72,2025-08-07T18:00:00+09:00,PT60M
31,9,0,9,8,2025-08-07T19:00:00+09:00,PT60M
30,0,0,0,0,2025-08-07T20:00:00+09:00,PT60M
29,0,0,0,0,2025-08-07T21:00:00+09:00,PT60M
29,0,0,0,0,2025-08-07T22:00:00+09:00,PT60M
28,0,0,0,0,2025-08-07T23:00:00+09:00,PT60M
28,0,0,0,0,2025-08-08T00:00:00+09:00,PT60M
27,0,0,0,0,2025-08-08T01:00:00+09:00,PT60M
27,0,0,0,0,2025-08-08T02:00:00+09:00,PT60M
26,0,0,0,0,2025-08-08T03:00:00+09:00,PT60M
26,0,0,0,0,2025-08-08T04:00:00+09:00,PT60M
26,0,0,0,0,2025-08-08T05:00:00+09:00,PT60M
26,39,28,44,40,2025-08-08T06:00:00+09:00,PT60M
27,94,398,221,190,2025-08-08T07:00:00+09:00,PT60M
29,104,649,432,411,2025-08-08T08:00:00+09:00,PT60M
30,140,690,604,607,2025-08-08T09:00:00+09:00,PT60M
31,136,775,764,790,2025-08-08T10:00:00+09:00,PT60M
32,327,463,742,765,2025-08-08T11:00:00+09:00,PT60M
32,366,418,761,784,2025-08-08T12:00:00+09:00,PT60M
33,199,728,877,921,2025-08-08T13:00:00+09:00,PT60M
32,295,342,599,612,2025-08-08T14:00:00+09:00,PT60M
32,236,539,638,648,2025-08-08T15:00:00+09:00,PT60M
32,266,242,423,418,2025-08-08T16:00:00+09:00,PT60M
31,192,177,264,250,2025-08-08T17:00:00+09:00,PT60M
30,91,60,108,100,2025-08-08T18:00:00+09:00,PT60M
30,9,0,9,9,2025-08-08T19:00:00+09:00,PT60M
29,0,0,0,0,2025-08-08T20:00:00+09:00,PT60M
28,0,0,0,0,2025-08-08T21:00:00+09:00,PT60M
28,0,0,0,0,2025-08-08T22:00:00+09:00,PT60M
27,0,0,0,0,2025-08-08T23:00:00+09:00,PT60M
27,0,0,0,0,2025-08-09T00:00:00+09:00,PT60M
26,0,0,0,0,2025-08-09T01:00:00+09:00,PT60M
26,0,0,0,0,2025-08-09T02:00:00+09:00,PT60M
26,0,0,0,0,2025-08-09T03:00:00+09:00,PT60M
26,0,0,0,0,2025-08-09T04:00:00+09:00,PT60M
25,0,0,0,0,2025-08-09T05:00:00+09:00,PT60M
25,26,0,26,26,2025-08-09T06:00:00+09:00,PT60M
26,111,232,191,173,2025-08-09T07:00:00+09:00,PT60M
27,161,454,392,376,2025-08-09T08:00:00+09:00,PT60M
29,187,586,581,583,2025-08-09T09:00:00+09:00,PT60M
30,421,149,542,539,2025-08-09T10:00:00+09:00,PT60M
30,443,48,487,479,2025-08-09T11:00:00+09:00,PT60M
31,398,98,490,487,2025-08-09T12:00:00+09:00,PT60M
31,451,222,656,663,2025-08-09T13:00:00+09:00,PT60M
31,454,23,475,464,2025-08-09T14:00:00+09:00,PT60M
31,414,16,427,416,2025-08-09T15:00:00+09:00,PT60M
31,251,204,364,355,2025-08-09T16:00:00+09:00,PT60M
31,185,162,259,248,2025-08-09T17:00:00+09:00,PT60M
30,92,84,112,102,2025-08-09T18:00:00+09:00,PT60M
29,9,0,9,9,2025-08-09T19:00:00+09:00,PT60M
28,0,0,0,0,2025-08-09T20:00:00+09:00,PT60M
28,0,0,0,0,2025-08-09T21:00:00+09:00,PT60M
27,0,0,0,0,2025-08-09T22:00:00+09:00,PT60M
27,0,0,0,0,2025-08-09T23:00:00+09:00,PT60M
27,0,0,0,0,2025-08-10T00:00:00+09:00,PT60M
27,0,0,0,0,2025-08-10T01:00:00+09:00,PT60M
27,0,0,0,0,2025-08-10T02:00:00+09:00,PT60M
27,0,0,0,0,2025-08-10T03:00:00+09:00,PT60M
27,0,0,0,0,2025-08-10T04:00:00+09:00,PT60M
26,0,0,0,0,2025-08-10T05:00:00+09:00,PT60M
26,13,0,13,13,2025-08-10T06:00:00+09:00,PT60M
27,70,0,70,68,2025-08-10T07:00:00+09:00,PT60M
27,91,0,91,89,2025-08-10T08:00:00+09:00,PT60M
27,60,0,60,58,2025-08-10T09:00:00+09:00,PT60M
27,103,0,103,100,2025-08-10T10:00:00+09:00,PT60M
27,103,0,103,101,2025-08-10T11:00:00+09:00,PT60M
27,160,0,160,156,2025-08-10T12:00:00+09:00,PT60M
28,110,0,110,107,2025-08-10T13:00:00+09:00,PT60M
28,130,0,130,126,2025-08-10T14:00:00+09:00,PT60M
28,163,0,163,159,2025-08-10T15:00:00+09:00,PT60M
28,109,0,109,106,2025-08-10T16:00:00+09:00,PT60M
28,62,0,62,60,2025-08-10T17:00:00+09:00,PT60M
28,30,0,30,29,2025-08-10T18:00:00+09:00,PT60M
28,3,0,3,3,2025-08-10T19:00:00+09:00,PT60M
28,0,0,0,0,2025-08-10T20:00:00+09:00,PT60M
27,0,0,0,0,2025-08-10T21:00:00+09:00,PT60M
27,0,0,0,0,2025-08-10T22:00:00+09:00,PT60M
27,0,0,0,0,2025-08-10T23:00:00+09:00,PT60M
27,0,0,0,0,2025-08-11T00:00:00+09:00,PT60M
27,0,0,0,0,2025-08-11T01:00:00+09:00,PT60M
27,0,0,0,0,2025-08-11T02:00:00+09:00,PT60M
27,0,0,0,0,2025-08-11T03:00:00+09:00,PT60M
27,0,0,0,0,2025-08-11T04:00:00+09:00,PT60M
27,0,0,0,0,2025-08-11T05:00:00+09:00,PT60M
27,15,0,15,14,2025-08-11T06:00:00+09:00,PT60M
27,63,0,63,61,2025-08-11T07:00:00+09:00,PT60M
28,117,0,117,114,2025-08-11T08:00:00+09:00,PT60M
28,99,0,99,96,2025-08-11T09:00:00+09:00,PT60M
28,115,0,115,112,2025-08-11T10:00:00+09:00,PT60M
28,189,0,189,184,2025-08-11T11:00:00+09:00,PT60M
28,437,4,441,429,2025-08-11T12:00:00+09:00,PT60M
29,183,0,183,178,2025-08-11T13:00:00+09:00,PT60M
29,178,0,178,173,2025-08-11T14:00:00+09:00,PT60M
29,172,0,172,167,2025-08-11T15:00:00+09:00,PT60M
29,131,0,131,128,2025-08-11T16:00:00+09:00,PT60M
28,86,0,86,84,2025-08-11T17:00:00+09:00,PT60M
28,25,0,25,24,2025-08-11T18:00:00+09:00,PT60M
28,3,0,3,3,2025-08-11T19:00:00+09:00,PT60M
28,0,0,0,0,2025-08-11T20:00:00+09:00,PT60M
28,0,0,0,0,2025-08-11T21:00:00+09:00,PT60M
27,0,0,0,0,2025-08-11T22:00:00+09:00,PT60M
27,0,0,0,0,2025-08-11T23:00:00+09:00,PT60M
27,0,0,0,0,2025-08-12T00:00:00+09:00,PT60M
27,0,0,0,0,2025-08-12T01:00:00+09:00,PT60M
27,0,0,0,0,2025-08-12T02:00:00+09:00,PT60M
27,0,0,0,0,2025-08-12T03:00:00+09:00,PT60M
27,0,0,0,0,2025-08-12T04:00:00+09:00,PT60M
27,0,0,0,0,2025-08-12T05:00:00+09:00,PT60M
27,9,0,9,9,2025-08-12T06:00:00+09:00,PT60M
28,47,0,47,45,2025-08-12T07:00:00+09:00,PT60M
28,108,0,108,105,2025-08-12T08:00:00+09:00,PT60M
28,79,0,79,77,2025-08-12T09:00:00+09:00,PT60M
28,160,0,160,155,2025-08-12T10:00:00+09:00,PT60M
29,212,0,212,206,2025-08-12T11:00:00+09:00,PT60M
29,267,0,267,260,2025-08-12T12:00:00+09:00,PT60M
29,147,0,147,143,2025-08-12T13:00:00+09:00,PT60M
29,177,0,177,172,2025-08-12T14:00:00+09:00,PT60M
29,154,0,154,150,2025-08-12T15:00:00+09:00,PT60M
28,111,0,111,108,2025-08-12T16:00:00+09:00,PT60M
28,79,0,79,77,2025-08-12T17:00:00+09:00,PT60M
28,22,0,22,22,2025-08-12T18:00:00+09:00,PT60M
27,1,0,1,1,2025-08-12T19:00:00+09:00,PT60M
27,0,0,0,0,2025-08-12T20:00:00+09:00,PT60M
27,0,0,0,0,2025-08-12T21:00:00+09:00,PT60M
27,0,0,0,0,2025-08-12T22:00:00+09:00,PT60M
27,0,0,0,0,2025-08-12T23:00:00+09:00,PT60M
26,0,0,0,0,2025-08-13T00:00:00+09:00,PT60M
26,0,0,0,0,2025-08-13T01:00:00+09:00,PT60M
26,0,0,0,0,2025-08-13T02:00:00+09:00,PT60M
26,0,0,0,0,2025-08-13T03:00:00+09:00,PT60M
25,0,0,0,0,2025-08-13T04:00:00+09:00,PT60M
25,0,0,0,0,2025-08-13T05:00:00+09:00,PT60M
25,21,0,21,21,2025-08-13T06:00:00+09:00,PT60M
25,133,4,135,131,2025-08-13T07:00:00+09:00,PT60M
26,255,57,284,277,2025-08-13T08:00:00+09:00,PT60M
27,336,102,404,398,2025-08-13T09:00:00+09:00,PT60M
28,415,32,442,433,2025-08-13T10:00:00+09:00,PT60M
28,430,6,435,424,2025-08-13T11:00:00+09:00,PT60M
28,470,23,491,481,2025-08-13T12:00:00+09:00,PT60M
29,460,0,460,447,2025-08-13T13:00:00+09:00,PT60M
29,461,32,489,479,2025-08-13T14:00:00+09:00,PT60M
29,384,151,495,492,2025-08-13T15:00:00+09:00,PT60M
29,190,480,474,472,2025-08-13T16:00:00+09:00,PT60M
29,163,19,172,168,2025-08-13T17:00:00+09:00,PT60M
29,47,0,47,45,2025-08-13T18:00:00+09:00,PT60M
28,2,0,2,2,2025-08-13T19:00:00+09:00,PT60M
27,0,0,0,0,2025-08-13T20:00:00+09:00,PT60M
27,0,0,0,0,2025-08-13T21:00:00+09:00,PT60M
26,0,0,0,0,2025-08-13T22:00:00+09:00,PT60M
