air_temp,dhi,dni,ghi,gti,period_end,period
26,0,0,0,0,2025-08-01T01:00:00+09:00,PT60M
26,0,0,0,0,2025-08-01T02:00:00+09:00,PT60M
25,0,0,0,0,2025-08-01T03:00:00+09:00,PT60M
25,0,0,0,0,2025-08-01T04:00:00+09:00,PT60M
25,0,0,0,0,2025-08-01T05:00:00+09:00,PT60M
25,34,0,34,33,2025-08-01T06:00:00+09:00,PT60M
26,133,24,140,134,2025-08-01T07:00:00+09:00,PT60M
26,207,8,211,205,2025-08-01T08:00:00+09:00,PT60M
26,234,0,234,227,2025-08-01T09:00:00+09:00,PT60M
27,276,0,276,268,2025-08-01T10:00:00+09:00,PT60M
28,358,336,668,678,2025-08-01T11:00:00+09:00,PT60M
29,305,319,607,617,2025-08-01T12:00:00+09:00,PT60M
30,328,2,330,321,2025-08-01T13:00:00+09:00,PT60M
30,148,0,148,144,2025-08-01T14:00:00+09:00,PT60M
29,363,2,365,355,2025-08-01T15:00:00+09:00,PT60M
29,155,0,155,151,2025-08-01T16:00:00+09:00,PT60M
28,150,0,150,146,2025-08-01T17:00:00+09:00,PT60M
28,83,0,83,81,2025-08-01T18:00:00+09:00,PT60M
28,10,0,10,10,2025-08-01T19:00:00+09:00,PT60M
28,0,0,0,0,2025-08-01T20:00:00+09:00,PT60M
27,0,0,0,0,2025-08-01T21:00:00+09:00,PT60M
27,0,0,0,0,2025-08-01T22:00:00+09:00,PT60M
27,0,0,0,0,2025-08-01T23:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T00:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T01:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T02:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T03:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T04:00:00+09:00,PT60M
27,0,0,0,0,2025-08-02T05:00:00+09:00,PT60M
28,21,0,21,20,2025-08-02T06:00:00+09:00,PT60M
28,128,0,128,124,2025-08-02T07:00:00+09:00,PT60M
29,150,0,150,146,2025-08-02T08:00:00+09:00,PT60M
30,317,3,318,310,2025-08-02T09:00:00+09:00,PT60M
31,413,80,479,472,2025-08-02T10:00:00+09:00,PT60M
33,262,556,771,794,2025-08-02T11:00:00+09:00,PT60M
33,140,814,912,953,2025-08-02T12:00:00+09:00,PT60M
33,151,793,896,935,2025-08-02T13:00:00+09:00,PT60M
33,160,755,822,849,2025-08-02T14:00:00+09:00,PT60M
33,157,705,698,707,2025-08-02T15:00:00+09:00,PT60M
32,155,598,523,510,2025-08-02T16:00:00+09:00,PT60M
31,125,460,335,308,2025-08-02T17:00:00+09:00,PT60M
30,95,0,95,92,2025-08-02T18:00:00+09:00,PT60M
29,11,0,11,11,2025-08-02T19:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T20:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T21:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T22:00:00+09:00,PT60M
28,0,0,0,0,2025-08-02T23:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T00:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T01:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T02:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T03:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T04:00:00+09:00,PT60M
27,0,0,0,0,2025-08-03T05:00:00+09:00,PT60M
27,43,98,57,44,2025-08-03T06:00:00+09:00,PT60M
28,133,184,196,178,2025-08-03T07:00:00+09:00,PT60M
29,206,283,357,342,2025-08-03T08:00:00+09:00,PT60M
30,167,624,590,586,2025-08-03T09:00:00+09:00,PT60M
31,380,242,578,578,2025-08-03T10:00:00+09:00,PT60M
32,348,345,667,677,2025-08-03T11:00:00+09:00,PT60M
33,219,682,866,903,2025-08-03T12:00:00+09:00,PT60M
34,329,480,779,802,2025-08-03T13:00:00+09:00,PT60M
