from_task_id,to_task_id,can_follow,deadhead_time_slot,deadhead_distance_km,deadhead_energy_kwh
T001,T002,true,1,0.0,0.0
T001,T003,true,2,15.0,5.0
T001,T004,true,1,0.0,0.0
T001,T005,true,2,15.0,5.0
T001,T006,true,1,0.0,0.0
T001,T007,true,2,15.0,5.0
T001,T008,true,1,0.0,0.0
T002,T003,false,1,0.0,0.0
T002,T004,true,2,15.0,5.0
T002,T005,true,1,0.0,0.0
T002,T006,true,2,15.0,5.0
T002,T007,true,1,0.0,0.0
T002,T008,true,2,15.0,5.0
T003,T004,true,1,0.0,0.0
T003,T005,true,2,15.0,5.0
T003,T006,true,1,0.0,0.0
T003,T007,true,2,15.0,5.0
T003,T008,true,1,0.0,0.0
T004,T005,true,1,0.0,0.0
T004,T006,true,2,15.0,5.0
T004,T007,true,1,0.0,0.0
T004,T008,true,2,15.0,5.0
T005,T006,true,1,0.0,0.0
T005,T007,true,2,15.0,5.0
T005,T008,true,1,0.0,0.0
T006,T007,true,1,0.0,0.0
T006,T008,true,2,15.0,5.0
T007,T008,true,1,0.0,0.0
