metric,discrete_median,discrete_q1,discrete_q3,discrete_minimum,discrete_maximum,aggregate_median,aggregate_q1,aggregate_q3,aggregate_minimum,aggregate_maximum,median_change
total_variables,825858.0,825858.0,825858.0,825858.0,825858.0,583125.0,583125.0,583125.0,583125.0,583125.0,-242733.0
binary_variables,726240.0,726240.0,726240.0,726240.0,726240.0,493756.0,493756.0,493756.0,493756.0,493756.0,-232484.0
constraints,151574.0,151574.0,151574.0,151574.0,151574.0,125547.0,125547.0,125547.0,125547.0,125547.0,-26027.0
nonzero_coefficients,16316201.0,16316201.0,16316201.0,16316201.0,16316201.0,15753121.0,15753121.0,15753121.0,15753121.0,15753121.0,-563080.0
complete_model_build_time_sec,37.15902709995862,37.062273300020024,37.33189349999884,36.886285199958365,37.57440209999913,36.15719339996576,35.6909169999999,36.18518009997206,35.52568510000128,36.883285099989735,-1.0018336999928579
presolve_time_sec,26.82099986076355,26.62999987602234,26.88699984550476,26.604000091552734,27.058000087738037,25.634000062942505,25.144999980926514,25.756999969482422,24.962000131607056,26.36899995803833,-1.186999797821045
total_solver_time_sec,30.753999948501587,30.680999994277954,30.86400008201599,30.67899990081787,31.039999961853027,435.10599994659424,435.10400009155273,435.1099998950958,435.1010000705719,435.11100006103516,404.35199999809265
runner_wall_time_sec,186.50928060000297,186.42809980001766,189.418557099998,184.52244819997577,193.05960890004644,588.625230900012,587.4658625000156,588.7049367,587.1300620999536,592.9381878999993,402.115950300009
incumbent_objective_jpy,707349.1733696415,707349.1733696415,707349.1733696415,707349.1733696415,707349.1733696415,707349.1733696413,707349.1733696413,707349.1733696413,707349.1733696413,707349.1733696413,-2.3283064365386963e-10
certified_best_bound_jpy,640000.0,640000.0,640000.0,640000.0,640000.0,640000.0,640000.0,640000.0,640000.0,640000.0,0.0
certified_gap_ratio,0.09521347575597812,0.09521347575597812,0.09521347575597812,0.09521347575597812,0.09521347575597812,0.09521347575597783,0.09521347575597783,0.09521347575597783,0.09521347575597783,0.09521347575597783,-2.914335439641036e-16
explored_nodes,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
peak_memory_bytes,3655983104.0,3652993024.0,3701235712.0,3649957888.0,3706101760.0,3296624640.0,3264684032.0,3312803840.0,3262525440.0,3313283072.0,-359358464.0
