fresh_confirmation_sha256,frozen_A_sha256,input_key,matches_frozen_A,scenario
b796a945c281894ae8b03391427e9d6efb3933854641eac17a50427d83684318,b796a945c281894ae8b03391427e9d6efb3933854641eac17a50427d83684318,canonical_ablation_input_sha256,True,SUNNY
175fa023ed7b37ab0e57e73b45986ba962492e01bdafda1dcfdb71adee13d777,175fa023ed7b37ab0e57e73b45986ba962492e01bdafda1dcfdb71adee13d777,charger_ids_sha256,True,SUNNY
5d19e5b5a327577f98758d0a0cf848301108c014e6abd9e4ba696afa5846e4b6,5d19e5b5a327577f98758d0a0cf848301108c014e6abd9e4ba696afa5846e4b6,charger_input_sha256,True,SUNNY
741b5f5d08a80c78a03ce6fe15cf3a6a69318385cff95a45852fb31125b38421,741b5f5d08a80c78a03ce6fe15cf3a6a69318385cff95a45852fb31125b38421,depot_input_sha256,True,SUNNY
037c2bf93cf94f702b6b6612e437efe8ce6c80c94f71af4fdb916458b064dba0,037c2bf93cf94f702b6b6612e437efe8ce6c80c94f71af4fdb916458b064dba0,energy_asset_control_input_sha256,True,SUNNY
1023574d08bc7f01b359645153092cb53cdb01de93cd66e6047c2e17bce3ae56,1023574d08bc7f01b359645153092cb53cdb01de93cd66e6047c2e17bce3ae56,objective_weights_sha256,True,SUNNY
99e49dd72e73d6e2e8c546d71573d3b00a7f00d23ab748da7171e1dd4b6bf05d,99e49dd72e73d6e2e8c546d71573d3b00a7f00d23ab748da7171e1dd4b6bf05d,prepared_input_sha256,True,SUNNY
99e49dd72e73d6e2e8c546d71573d3b00a7f00d23ab748da7171e1dd4b6bf05d,99e49dd72e73d6e2e8c546d71573d3b00a7f00d23ab748da7171e1dd4b6bf05d,prepared_source_sha256,True,SUNNY
6997be4769dd747c5b58df8d777d53adbad96ff36ff1a662420111ed4c4e6f40,6997be4769dd747c5b58df8d777d53adbad96ff36ff1a662420111ed4c4e6f40,price_input_sha256,True,SUNNY
537cd9bdd87e4ad129efcec4caca5b182498e224818c567f20241871c41a7e96,537cd9bdd87e4ad129efcec4caca5b182498e224818c567f20241871c41a7e96,price_value_set_sha256,True,SUNNY
65213bba051354c6dc2e5a2c27b47b8d0a7a32ba85cfcce857f9e359f98ab652,65213bba051354c6dc2e5a2c27b47b8d0a7a32ba85cfcce857f9e359f98ab652,pv_profile_sha256,True,SUNNY
fe51fbcd526a4f2b8704e2325ad134b18dffd9233fb01adf2dfa508008850bab,fe51fbcd526a4f2b8704e2325ad134b18dffd9233fb01adf2dfa508008850bab,trip_ids_sha256,True,SUNNY
e5cb47b5e554095a783595f1b8bf5c820fdbc8368f47458d7c881aecb8e5e779,e5cb47b5e554095a783595f1b8bf5c820fdbc8368f47458d7c881aecb8e5e779,trip_input_sha256,True,SUNNY
4a753692705a9ba982198a00c33940d489680a8c343df24bde19625418f02041,4a753692705a9ba982198a00c33940d489680a8c343df24bde19625418f02041,trip_structure_input_sha256,True,SUNNY
745cd98a9433b3e556b81c689ae13ae2ab1cff1e4da7797363b17a824c2a20c0,745cd98a9433b3e556b81c689ae13ae2ab1cff1e4da7797363b17a824c2a20c0,vehicle_ids_sha256,True,SUNNY
42f03f2bbebb16508b8763d98a47523146c6192a669f5f6cedebcf06833ea34e,42f03f2bbebb16508b8763d98a47523146c6192a669f5f6cedebcf06833ea34e,vehicle_input_sha256,True,SUNNY
c9480714062c1f022a386769f62f8ebe5f0bfd3328cdc990c539c18a976866a6,c9480714062c1f022a386769f62f8ebe5f0bfd3328cdc990c539c18a976866a6,vehicle_type_input_sha256,True,SUNNY
23e62062332eac4347330f333fbc02c947d848c79e0ad6a39e14944cdad3276a,23e62062332eac4347330f333fbc02c947d848c79e0ad6a39e14944cdad3276a,canonical_ablation_input_sha256,True,RAIN
175fa023ed7b37ab0e57e73b45986ba962492e01bdafda1dcfdb71adee13d777,175fa023ed7b37ab0e57e73b45986ba962492e01bdafda1dcfdb71adee13d777,charger_ids_sha256,True,RAIN
5d19e5b5a327577f98758d0a0cf848301108c014e6abd9e4ba696afa5846e4b6,5d19e5b5a327577f98758d0a0cf848301108c014e6abd9e4ba696afa5846e4b6,charger_input_sha256,True,RAIN
741b5f5d08a80c78a03ce6fe15cf3a6a69318385cff95a45852fb31125b38421,741b5f5d08a80c78a03ce6fe15cf3a6a69318385cff95a45852fb31125b38421,depot_input_sha256,True,RAIN
037c2bf93cf94f702b6b6612e437efe8ce6c80c94f71af4fdb916458b064dba0,037c2bf93cf94f702b6b6612e437efe8ce6c80c94f71af4fdb916458b064dba0,energy_asset_control_input_sha256,True,RAIN
1023574d08bc7f01b359645153092cb53cdb01de93cd66e6047c2e17bce3ae56,1023574d08bc7f01b359645153092cb53cdb01de93cd66e6047c2e17bce3ae56,objective_weights_sha256,True,RAIN
8220f7208b7add87beeb3a30c5d8f727480423427fff5e2f5eca1ed4a8e0ed3f,8220f7208b7add87beeb3a30c5d8f727480423427fff5e2f5eca1ed4a8e0ed3f,prepared_input_sha256,True,RAIN
8220f7208b7add87beeb3a30c5d8f727480423427fff5e2f5eca1ed4a8e0ed3f,8220f7208b7add87beeb3a30c5d8f727480423427fff5e2f5eca1ed4a8e0ed3f,prepared_source_sha256,True,RAIN
6997be4769dd747c5b58df8d777d53adbad96ff36ff1a662420111ed4c4e6f40,6997be4769dd747c5b58df8d777d53adbad96ff36ff1a662420111ed4c4e6f40,price_input_sha256,True,RAIN
537cd9bdd87e4ad129efcec4caca5b182498e224818c567f20241871c41a7e96,537cd9bdd87e4ad129efcec4caca5b182498e224818c567f20241871c41a7e96,price_value_set_sha256,True,RAIN
0d07117ea15c8f6010ea6fd30c96c1c1ed175a857bec59ef0f8ebee1a2cb6c40,0d07117ea15c8f6010ea6fd30c96c1c1ed175a857bec59ef0f8ebee1a2cb6c40,pv_profile_sha256,True,RAIN
fe51fbcd526a4f2b8704e2325ad134b18dffd9233fb01adf2dfa508008850bab,fe51fbcd526a4f2b8704e2325ad134b18dffd9233fb01adf2dfa508008850bab,trip_ids_sha256,True,RAIN
