accounting_reconciliation_passed,assignment_hash,candidate_hash,physical_validation_feasible,rank_reversed,scenario,selectable,source_candidate_index,source_rejection_reason,source_selected,stage1_candidate_priority_cost_jpy,stage1_energy_recourse_objective_jpy,stage1_proxy_rank,stage2_canonical_actual_cost_jpy,stage2_canonical_rank,stage2_feasible
True,76fb6a9b635bce41ae73db10f08facc7862a1f55a4465004457e79838c9a516c,db0b67eda7aecd03f57a277a57d87c4dfa722cf1f73b5d2cead06efaa19c4aab,True,False,SUNNY,True,1,,True,660983.7838045001,0.0,1,660983.7838045002,1,True
True,f932b55a1d8f4bdd80c24466353e6db3669e2b168729bd99769a7d1b9f057493,3cca5d222273f3d023c68aa44537ea7db82ceef4833ee135310f693c65aa97be,True,False,SUNNY,True,2,not_selected_by_source_run,False,666164.0823664973,0.0,2,666164.0823664974,2,True
True,ddeb4211cfc03b47cc7403c0d1babc939b410f94f0c300491792a794616ebe80,aa55c76cf7871bb8ca4a6559745341bae8575986bd6046cb2dfd9c75f736b95a,True,False,SUNNY,True,3,not_selected_by_source_run,False,671015.0770377992,0.0,3,671015.0770377993,3,True
True,ab0f9d80e7a5df0fe3b7d92ccffd930a4373349a14720c411524efe6e747f08b,a18de4d5588f4c40dcc6f3b3d823e886fe82591ecd25d56aac982823ac9cd0f6,True,False,SUNNY,True,4,not_selected_by_source_run,False,675803.8547091411,0.0,4,675803.8547091411,4,True
True,baf28cee74e6cb3a7d38811e4e78df3a2b5a1b96a4be9ea4f84703aaea555798,740d559976a65c9f771ece25467601716f0720341a876e81ce899e9cd66607ef,True,False,SUNNY,True,5,not_selected_by_source_run,False,680592.6316040504,0.0,5,680592.6316040504,5,True
True,0890d2b05c4ef5f8f106b40ad1548696e10d7c060fcf32bb62cd3dded42229a1,b491ffee4b645a4e18471822aafabc97c3ab100f54d63acecdceb01b15376b08,True,False,SUNNY,True,6,not_selected_by_source_run,False,685663.511394628,0.0,6,685663.511394628,6,True
True,662702cc3fb2681a377ebe541a921cb54978cbf77125128b687e685be555b109,fbf4102a9931f99643e11bea3993ae0b9d4d9b6bf54d26af9e634e4ca37bda02,True,False,SUNNY,True,7,not_selected_by_source_run,False,690112.753615856,0.0,7,690112.753615856,7,True
True,213b2ccd409559807467d9726bdf7eb4958f9c1d5d68c3363e95db5299d65316,c6cb0cc9574f1964d3761001ec64bdd7287cb252e56a3509f2627e2623a03034,True,False,SUNNY,True,8,not_selected_by_source_run,False,694607.6443719033,0.0,8,694607.6443719033,8,True
True,e511bd6940ac14fa39148178676a79bb32dc20e3cc4f821a54a36bbd8e3dcf1f,b4f0a36c694d539fe75b8d3a6d38ffce9e3ccb53773cbc0f7367c62f735194cb,True,False,SUNNY,True,9,not_selected_by_source_run,False,698863.087754261,0.0,9,698863.087754261,9,True
True,65478159445a0c00501945675704c0178f0b2dc8ca02faa7003057a6b9b8f037,0d1c20241682c38f2aa95264fe2fba660ef110a846addcf1812b9fbfd80f1349,True,False,SUNNY,True,10,not_selected_by_source_run,False,703024.5297858134,0.0,10,703024.5297858134,10,True
True,5ba26c68511b0a63e4ef14c60935b382a57aafac375d5bcc857b1e485834db0f,7ddb08cec49d9051f6b92adf6ad72477de19e46709ffab6e15b455e9c017a568,True,False,SUNNY,True,11,not_selected_by_source_run,False,704318.6336491928,0.0,11,704318.6336491928,11,True
True,cff27e8a768bf48f0a0dd830ebd62643b99dec066325d5cc5d7a536b1dd1ba79,738008fead355bc833880f887972922ab0e7ec793a499e6777bad9e49fe8ded2,True,False,SUNNY,True,12,not_selected_by_source_run,False,705596.0349608877,0.0,12,705596.0349608877,12,True
True,0de9a6ab9fa8277f26dbcb6c3e5424ec22f59d789a1c3f9dd9e829bbe81d0361,c4c505dcfb5ff1ea60768004b70d2721bb638292704db01028c918eb7b051698,True,False,SUNNY,True,13,not_selected_by_source_run,False,706431.2805291045,0.0,13,706431.2805291044,13,True
True,e5a0b6aa409d52be836449063e720054d442693dbfdaaf3d11f8fb928b1c7f1a,152bb82e5e88138615a5f86b151b5ea5ec8d8b74db0330b175c53500a2463836,True,False,SUNNY,True,14,not_selected_by_source_run,False,706897.3427014399,0.0,14,706897.3427014399,14,True
True,223933f431651836b4bb41056c1b77880abdd30d38e746e4b0f7db831eed1fde,f2bf4f1ebc2123e6114a17683659a8e418270caff8f951214a42e927312db3bc,True,False,SUNNY,True,15,not_selected_by_source_run,False,707349.1733696415,0.0,15,707349.1733696415,15,True
True,23efc4a2ab99e6a039ba8aaa172e7865d0806fa51242438bb4daaa7d2d974eca,5f9cd555a7c397feb3a34ba1a95d2f5e3c9e65a0fc047a4769c45607381d9caf,True,False,SUNNY,True,16,not_selected_by_source_run,False,1007361.2748827066,0.0,16,1007361.2748827065,16,True
True,e7d6d5694209a960cccd6c2f20729c92bcab88089cc2abdf6474ef82a5822db1,bd3cb324eeeb0c43f41ae48e196e1f0f97b37ed0f76e11d2a6b415ac7f65fd12,True,False,SUNNY,True,17,not_selected_by_source_run,False,1027299.0571063138,0.0,17,1027299.0571063138,17,True
True,dd3c7bbc38bbbb3cc7f9237b7d696b935c3c0264272ac27930a1b769c0f0393d,b32fce98a5368050d85f4f8d07eb52a8684ed6da0f8f4e5ce0dc6d5e9636eb5c,True,False,SUNNY,True,18,not_selected_by_source_run,False,1047311.1586193787,0.0,18,1047311.1586193787,18,True
True,b73e8c639f783d7df9f87fff0f79aecc4d8b543ee4a08916c7ad3edea9da61b5,015bd67590e8d0c94272b265aee6a1f5db670a440e1943956c2059eeeae172d5,True,False,SUNNY,True,19,not_selected_by_source_run,False,1067331.3124817149,0.0,19,1067331.312481715,19,True
True,20cee42a2373bd06c6221787f06df2504544b0dd048e48e0de4658fa532d4e77,4d74261e0e229803b56e4f5ce3651a2a4ca97326b6aab5a96d4f00d57da20695,True,False,SUNNY,True,20,not_selected_by_source_run,False,1087269.0947053223,0.0,20,1087269.0947053223,20,True
True,f84e87d75edf3de1f9f1d64b225811bc7f27fd2b3e552c6b6e926b507afe1a5b,0f96311ad938c86155972bc4ca558e405b8bfc1abc7e5513fcd52177b6561a14,True,False,SUNNY,True,21,not_selected_by_source_run,False,1106790.9594103505,0.0,21,1106790.9594103505,21,True
True,f1c7f3cd925b59fc21c91a086f18ae067e28aab7f8ece26dcb8ab9a535378f93,224f0149fff64c812af2093335b4a40a3228e9e76d1a421e54cbb1d7a76007ab,True,False,SUNNY,True,22,not_selected_by_source_run,False,1126803.0609234155,0.0,22,1126803.0609234155,22,True
True,213b2ccd409559807467d9726bdf7eb4958f9c1d5d68c3363e95db5299d65316,c6cb0cc9574f1964d3761001ec64bdd7287cb252e56a3509f2627e2623a03034,True,False,RAIN,True,1,,True,698296.4652839542,3688.8209120508864,1,698296.465283954,1,True
True,e511bd6940ac14fa39148178676a79bb32dc20e3cc4f821a54a36bbd8e3dcf1f,b4f0a36c694d539fe75b8d3a6d38ffce9e3ccb53773cbc0f7367c62f735194cb,True,False,RAIN,True,2,not_selected_by_source_run,False,698863.087754261,0.0,2,698863.087754261,2,True
True,662702cc3fb2681a377ebe541a921cb54978cbf77125128b687e685be555b109,fbf4102a9931f99643e11bea3993ae0b9d4d9b6bf54d26af9e634e4ca37bda02,True,False,RAIN,True,3,not_selected_by_source_run,False,699427.2582176797,9314.504601823515,3,699427.2582176796,3,True
