accounting_reconciliation_delta_jpy,accounting_reconciliation_passed,assignment_hash,assignment_unchanged,canonical_actual_cost_jpy,costs_jpy,dispatch_reoptimization_performed,energy,energy_recourse_optimization_performed,evaluation_wall_time_sec,fallback_used,minimum_bev_soc_kwh,physical_validation_errors,physical_validation_feasible,recourse_hash,repair_used,scenario,selectable,solved_assignment_hash,source_candidate_hash,stage2_feasible,stage2_runtime_seconds,stage2_solver_status,terminal_bess_soc_kwh_total,terminal_bev_soc_kwh_total,used_vehicle_count
0.0,True,0890d2b05c4ef5f8f106b40ad1548696e10d7c060fcf32bb62cd3dded42229a1,True,685663.511394628,"{""degradation_cost"": 0.0, ""demand_cost"": 0.0, ""electricity_cost"": 1.4551915228366852e-11, ""fuel_cost"": 44889.645331858366, ""stationary_battery_degradation_cost"": 0.0, ""vehicle_usage_cost"": 640000.0}",False,"{""bess_to_bus_kwh"": 1230.123108050526, ""grid_import_kwh"": 0.0, ""peak_grid_kw"": 0.0, ""pv_curtail_kwh"": 4503.928918738031, ""pv_to_bess_kwh"": 1363.0172942388103, ""pv_to_bus_kwh"": 189.30378702315795}",True,4.9918254999793135,False,,[],True,b8596951b592c0e431bea90a00f6d83b34ec802901540b596e55bdfb2887cfa3,False,SUNNY,True,0890d2b05c4ef5f8f106b40ad1548696e10d7c060fcf32bb62cd3dded42229a1,b491ffee4b645a4e18471822aafabc97c3ab100f54d63acecdceb01b15376b08,True,1.6627231999882497,optimal,,,32
0.0,True,0890d2b05c4ef5f8f106b40ad1548696e10d7c060fcf32bb62cd3dded42229a1,True,700546.5672147735,"{""degradation_cost"": 0.0, ""demand_cost"": 0.0, ""electricity_cost"": 14639.071298503903, ""fuel_cost"": 44889.645331858366, ""stationary_battery_degradation_cost"": 0.0, ""vehicle_usage_cost"": 640000.0}",False,"{""bess_to_bus_kwh"": 599.2799139418009, ""grid_import_kwh"": 487.96904328346244, ""peak_grid_kw"": 200.0, ""pv_curtail_kwh"": 0.0, ""pv_to_bess_kwh"": 664.0220653094736, ""pv_to_bus_kwh"": 332.1779346905264}",True,4.890910599962808,False,,[],True,fb99147077224ea69a881e5c326a57e5d67df8df0d366b36f2d020ae3b18116f,False,RAIN,True,0890d2b05c4ef5f8f106b40ad1548696e10d7c060fcf32bb62cd3dded42229a1,b491ffee4b645a4e18471822aafabc97c3ab100f54d63acecdceb01b15376b08,True,1.617322999984026,optimal,,,32
0.0,True,0de9a6ab9fa8277f26dbcb6c3e5424ec22f59d789a1c3f9dd9e829bbe81d0361,True,706431.2805291044,"{""degradation_cost"": 0.0, ""demand_cost"": 0.0, ""electricity_cost"": 2.546585164964199e-11, ""fuel_cost"": 65305.46011061945, ""stationary_battery_degradation_cost"": 0.0, ""vehicle_usage_cost"": 640000.0}",False,"{""bess_to_bus_kwh"": 539.2031520147304, ""grid_import_kwh"": 0.0, ""peak_grid_kw"": 0.0, ""pv_curtail_kwh"": 5430.780350786674, ""pv_to_bess_kwh"": 597.4550160828044, ""pv_to_bus_kwh"": 28.0146331305227}",True,4.4435256000142545,False,,[],True,e96b18d204b524a654784106e98813552bf3f8c4f47ebfd443041d28c38f13e4,False,SUNNY,True,0de9a6ab9fa8277f26dbcb6c3e5424ec22f59d789a1c3f9dd9e829bbe81d0361,c4c505dcfb5ff1ea60768004b70d2721bb638292704db01028c918eb7b051698,True,1.1183435000129975,optimal,,,32
0.0,True,0de9a6ab9fa8277f26dbcb6c3e5424ec22f59d789a1c3f9dd9e829bbe81d0361,True,706431.2805291044,"{""degradation_cost"": 0.0, ""demand_cost"": 0.0, ""electricity_cost"": 0.0, ""fuel_cost"": 65305.46011061945, ""stationary_battery_degradation_cost"": 0.0, ""vehicle_usage_cost"": 640000.0}",False,"{""bess_to_bus_kwh"": 449.1215573557894, ""grid_import_kwh"": 0.0, ""peak_grid_kw"": 0.0, ""pv_curtail_kwh"": 380.4621679381846, ""pv_to_bess_kwh"": 497.64161479865754, ""pv_to_bus_kwh"": 118.09621726315791}",True,4.40984620002564,False,,[],True,66cffe18f1bac0a8f47a3166991ad11f904bead312211af722d3932235ac22fb,False,RAIN,True,0de9a6ab9fa8277f26dbcb6c3e5424ec22f59d789a1c3f9dd9e829bbe81d0361,c4c505dcfb5ff1ea60768004b70d2721bb638292704db01028c918eb7b051698,True,1.11919840000337,optimal,,,32
0.0,True,20cee42a2373bd06c6221787f06df2504544b0dd048e48e0de4658fa532d4e77,True,1087269.0947053223,"{""degradation_cost"": 0.0, ""demand_cost"": 0.0, ""electricity_cost"": 3.637978807091713e-12, ""fuel_cost"": 66129.07573008853, ""stationary_battery_degradation_cost"": 0.0, ""vehicle_usage_cost"": 1020000.0}",False,"{""bess_to_bus_kwh"": 810.4392980210562, ""grid_import_kwh"": 0.0, ""peak_grid_kw"": 0.0, ""pv_curtail_kwh"": 5138.303137956954, ""pv_to_bess_kwh"": 897.9936820177878, ""pv_to_bus_kwh"": 19.95318002525788}",True,5.591580599953886,False,,[],True,6a2f1e1e9f6643b89b6148dc818b41d26ca3536ae7607bea84cfd0aa61ef7971,False,SUNNY,True,20cee42a2373bd06c6221787f06df2504544b0dd048e48e0de4658fa532d4e77,4d74261e0e229803b56e4f5ce3651a2a4ca97326b6aab5a96d4f00d57da20695,True,2.2386788000003435,optimal,,,51
0.0,True,20cee42a2373bd06c6221787f06df2504544b0dd048e48e0de4658fa532d4e77,True,1087269.0947053223,"{""degradation_cost"": 0.0, ""demand_cost"": 0.0, ""electricity_cost"": 3.637978807091713e-12, ""fuel_cost"": 66129.07573008853, ""stationary_battery_degradation_cost"": 0.0, ""vehicle_usage_cost"": 1020000.0}",False,"{""bess_to_bus_kwh"": 810.4392980210562, ""grid_import_kwh"": 0.0, ""peak_grid_kw"": 0.0, ""pv_curtail_kwh"": 78.25313795695138, ""pv_to_bess_kwh"": 897.9936820177908, ""pv_to_bus_kwh"": 19.95318002525787}",True,5.545828300004359,False,,[],True,41782580df735ea951482476938cc1f3c7efd06902c78771228435a23cbf4b48,False,RAIN,True,20cee42a2373bd06c6221787f06df2504544b0dd048e48e0de4658fa532d4e77,4d74261e0e229803b56e4f5ce3651a2a4ca97326b6aab5a96d4f00d57da20695,True,2.2575249999645166,optimal,,,51
0.0,True,213b2ccd409559807467d9726bdf7eb4958f9c1d5d68c3363e95db5299d65316,True,694607.6443719033,"{""degradation_cost"": 0.0, ""demand_cost"": 0.0, ""electricity_cost"": 2.546585164964199e-11, ""fuel_cost"": 53682.200807522095, ""stationary_battery_degradation_cost"": 0.0, ""vehicle_usage_cost"": 640000.0}",False,"{""bess_to_bus_kwh"": 853.1856735051924, ""grid_import_kwh"": 0.0, ""peak_grid_kw"": 0.0, ""pv_curtail_kwh"": 4911.674782582021, ""pv_to_bess_kwh"": 945.3580869863612, ""pv_to_bus_kwh"": 199.21713043161773}",True,4.659421499993186,False,,[],True,d710c593dd3728e6f875f49b088aae1862bd93d0fd132c61b635e57ae06fcaae,False,SUNNY,True,213b2ccd409559807467d9726bdf7eb4958f9c1d5d68c3363e95db5299d65316,c6cb0cc9574f1964d3761001ec64bdd7287cb252e56a3509f2627e2623a03034,True,1.4072128999978304,optimal,,,32
0.0,True,213b2ccd409559807467d9726bdf7eb4958f9c1d5d68c3363e95db5299d65316,True,698296.465283954,"{""degradation_cost"": 0.0, ""demand_cost"": 0.0, ""electricity_cost"": 3628.348438082822, ""fuel_cost"": 53682.200807522095, ""stationary_battery_degradation_cost"": 0.0, ""vehicle_usage_cost"": 640000.0}",False,"{""bess_to_bus_kwh"": 599.2799139418013, ""grid_import_kwh"": 120.9449479360937, ""peak_grid_kw"": 180.0, ""pv_curtail_kwh"": 0.0, ""pv_to_bess_kwh"": 664.0220653094736, ""pv_to_bus_kwh"": 332.1779346905264}",True,4.700928200036287,False,,[],True,cfdca27bd868de5705169f061f8fdbfef95f04ca4edf8da9931aa356f51dd59b,False,RAIN,True,213b2ccd409559807467d9726bdf7eb4958f9c1d5d68c3363e95db5299d65316,c6cb0cc9574f1964d3761001ec64bdd7287cb252e56a3509f2627e2623a03034,True,1.4175159999867901,optimal,,,32
0.0,True,223933f431651836b4bb41056c1b77880abdd30d38e746e4b0f7db831eed1fde,True,707349.1733696415,"{""degradation_cost"": 0.0, ""demand_cost"": 0.0, ""electricity_cost"": 1.8189894035458565e-12, ""fuel_cost"": 66207.79728982302, ""stationary_battery_degradation_cost"": 0.0, ""vehicle_usage_cost"": 640000.0}",False,"{""bess_to_bus_kwh"": 504.4929374189394, ""grid_import_kwh"": 0.0, ""peak_grid_kw"": 0.0, ""pv_curtail_kwh"": 5472.196103483057, ""pv_to_bess_kwh"": 558.9949445085218, ""pv_to_bus_kwh"": 25.05895200842061}",True,4.139517900010105,False,,[],True,bfb044b1c3fcde6ac8044dcc962b579c0fd3799a417daba15c9fe0d008fa9d78,False,SUNNY,True,223933f431651836b4bb41056c1b77880abdd30d38e746e4b0f7db831eed1fde,f2bf4f1ebc2123e6114a17683659a8e418270caff8f951214a42e927312db3bc,True,0.8815545000252314,optimal,,,32
0.0,True,223933f431651836b4bb41056c1b77880abdd30d38e746e4b0f7db831eed1fde,True,707349.1733696415,"{""degradation_cost"": 0.0, ""demand_cost"": 0.0, ""electricity_cost"": 5.4569682106375694e-12, ""fuel_cost"": 66207.79728982302, ""stationary_battery_degradation_cost"": 0.0, ""vehicle_usage_cost"": 640000.0}",False,"{""bess_to_bus_kwh"": 414.9780819263153, ""grid_import_kwh"": 0.0, ""peak_grid_kw"": 0.0, ""pv_curtail_kwh"": 421.81668764984454, ""pv_to_bess_kwh"": 459.80950905962914, ""pv_to_bus_kwh"": 114.57380329052636}",True,4.169643300003372,False,,[],True,10dd72bf44a94827e066cf2d087d7cc0ec61ed7898d51ec1fde9a520d5c7f522,False,RAIN,True,223933f431651836b4bb41056c1b77880abdd30d38e746e4b0f7db831eed1fde,f2bf4f1ebc2123e6114a17683659a8e418270caff8f951214a42e927312db3bc,True,0.9084865999757312,optimal,,,32
0.0,True,23efc4a2ab99e6a039ba8aaa172e7865d0806fa51242438bb4daaa7d2d974eca,True,1007361.2748827065,"{""degradation_cost"": 0.0, ""demand_cost"": 0.0, ""electricity_cost"": 7.275957614183426e-12, ""fuel_cost"": 66219.69371681417, ""stationary_battery_degradation_cost"": 0.0, ""vehicle_usage_cost"": 940000.0}",False,"{""bess_to_bus_kwh"": 760.9429795452667, ""grid_import_kwh"": 0.0, ""peak_grid_kw"": 0.0, ""pv_curtail_kwh"": 5193.146704135113, ""pv_to_bess_kwh"": 843.1501158396281, ""pv_to_bus_kwh"": 19.95318002525788}",True,5.215955999970902,False,,[],True,dda22c12efc8919fb203168d99625549e80ce8d9504976d983c76f40967fc343,False,SUNNY,True,23efc4a2ab99e6a039ba8aaa172e7865d0806fa51242438bb4daaa7d2d974eca,5f9cd555a7c397feb3a34ba1a95d2f5e3c9e65a0fc047a4769c45607381d9caf,True,1.9259022999904118,optimal,,,47
0.0,True,23efc4a2ab99e6a039ba8aaa172e7865d0806fa51242438bb4daaa7d2d974eca,True,1007361.2748827065,"{""degradation_cost"": 0.0, ""demand_cost"": 0.0, ""electricity_cost"": 0.0, ""fuel_cost"": 66219.69371681417, ""stationary_battery_degradation_cost"": 0.0, ""vehicle_usage_cost"": 940000.0}",False,"{""bess_to_bus_kwh"": 452.6851702402011, ""grid_import_kwh"": 0.0, ""peak_grid_kw"": 0.0, ""pv_curtail_kwh"": 166.39882275815916, ""pv_to_bess_kwh"": 501.59021633263166, ""pv_to_bus_kwh"": 328.2109609092093}",True,6.531090600008611,False,,[],True,02938488500e7a25a561bef461cfc73919cab0d6022f91319d068dc857e7e8d6,False,RAIN,True,23efc4a2ab99e6a039ba8aaa172e7865d0806fa51242438bb4daaa7d2d974eca,5f9cd555a7c397feb3a34ba1a95d2f5e3c9e65a0fc047a4769c45607381d9caf,True,3.199008999974467,optimal,,,47
0.0,True,5ba26c68511b0a63e4ef14c60935b382a57aafac375d5bcc857b1e485834db0f,True,704318.6336491928,"{""degradation_cost"": 0.0, ""demand_cost"": 0.0, ""electricity_cost"": 1.0913936421275139e-11, ""fuel_cost"": 63228.6165597345, ""stationary_battery_degradation_cost"": 0.0, ""vehicle_usage_cost"": 640000.0}",False,"{""bess_to_bus_kwh"": 621.6495905347294, ""grid_import_kwh"": 0.0, ""peak_grid_kw"": 0.0, ""pv_curtail_kwh"": 5335.180548294151, ""pv_to_bess_kwh"": 688.8084105647971, ""pv_to_bus_kwh"": 32.26104114105245}",True,4.477562799991574,False,,[],True,c93e9d3a0e54e68b3770c896da890fe6b305b978203b00f090151a33e81905fa,False,SUNNY,True,5ba26c68511b0a63e4ef14c60935b382a57aafac375d5bcc857b1e485834db0f,7ddb08cec49d9051f6b92adf6ad72477de19e46709ffab6e15b455e9c017a568,True,1.1620445000007749,optimal,,,32
0.0,True,5ba26c68511b0a63e4ef14c60935b382a57aafac375d5bcc857b1e485834db0f,True,704318.6336491928,"{""degradation_cost"": 0.0, ""demand_cost"": 0.0, ""electricity_cost"": 1.4551915228366852e-11, ""fuel_cost"": 63228.6165597345, ""stationary_battery_degradation_cost"": 0.0, ""vehicle_usage_cost"": 640000.0}",False,"{""bess_to_bus_kwh"": 484.962753008303, ""grid_import_kwh"": 0.0, ""peak_grid_kw"": 0.0, ""pv_curtail_kwh"": 289.8972850907445, ""pv_to_bess_kwh"": 537.3548509787294, ""pv_to_bus_kwh"": 168.94786393052615}",True,4.5177846000296995,False,,[],True,eb4693cd0b7ff2b6f39d1d00fea0adc93d7fdde654698c0a81ad7fdd0c3265c4,False,RAIN,True,5ba26c68511b0a63e4ef14c60935b382a57aafac375d5bcc857b1e485834db0f,7ddb08cec49d9051f6b92adf6ad72477de19e46709ffab6e15b455e9c017a568,True,1.2528492999845184,optimal,,,32
0.0,True,65478159445a0c00501945675704c0178f0b2dc8ca02faa7003057a6b9b8f037,True,703024.5297858134,"{""degradation_cost"": 0.0, ""demand_cost"": 0.0, ""electricity_cost"": -7.275957614183426e-12, ""fuel_cost"": 61956.44405973451, ""stationary_battery_degradation_cost"": 0.0, ""vehicle_usage_cost"": 640000.0}",False,"{""bess_to_bus_kwh"": 467.31323310736855, ""grid_import_kwh"": 0.0, ""peak_grid_kw"": 0.0, ""pv_curtail_kwh"": 5298.75023448757, ""pv_to_bess_kwh"": 517.7985962408511, ""pv_to_bus_kwh"": 239.70116927157895}",True,4.539486500027124,False,,[],True,4ae803dad75480d310b2bddfef162c43681ad27fee24ba63a70626329c25242b,False,SUNNY,True,65478159445a0c00501945675704c0178f0b2dc8ca02faa7003057a6b9b8f037,0d1c20241682c38f2aa95264fe2fba660ef110a846addcf1812b9fbfd80f1349,True,1.2026265999884345,optimal,,,32
