scenario,scenario_id,prepared_input_id,slot_index,time,slot_minutes,pv_generated_kwh,pv_to_bus_kwh,pv_to_bess_kwh,pv_curtailed_kwh,bess_to_bus_kwh,grid_to_bus_kwh,grid_to_bess_kwh,bess_soc_end_kwh,bev_charging_load_kwh,grid_import_kwh,grid_import_kw
SUNNY,771d115b-75b0-49f7-a7f0-25f259a2cd21,prepared-1f1b85053b8c9ea1-453c50ff177c277b-8acc7b3a,0,00:00,15,0.0,0.0,0.0,0.0,94.01382427368411,0.0,0.0,2901.0380797119115,94.01382427368411,0.0,0.0
SUNNY,771d115b-75b0-49f7-a7f0-25f259a2cd21,prepared-1f1b85053b8c9ea1-453c50ff177c277b-8acc7b3a,1,00:15,15,0.0,0.0,0.0,0.0,99.57485137898631,0.0,0.0,2796.2224466813996,99.57485137898631,0.0,0.0
SUNNY,771d115b-75b0-49f7-a7f0-25f259a2cd21,prepared-1f1b85053b8c9ea1-453c50ff177c277b-8acc7b3a,2,00:30,15,0.0,0.0,0.0,0.0,126.10878402311448,0.0,0.0,2663.476358236016,126.10878402311448,0.0,0.0
SUNNY,771d115b-75b0-49f7-a7f0-25f259a2cd21,prepared-1f1b85053b8c9ea1-453c50ff177c277b-8acc7b3a,3,00:45,15,0.0,0.0,0.0,0.0,121.94018131578957,0.0,0.0,2535.118272640448,121.94018131578957,0.0,0.0
SUNNY,771d115b-75b0-49f7-a7f0-25f259a2cd21,prepared-1f1b85053b8c9ea1-453c50ff177c277b-8acc7b3a,4,01:00,15,0.0,0.0,0.0,0.0,112.65290832418052,0.0,0.0,2416.536263878153,112.65290832418052,0.0,0.0
SUNNY,771d115b-75b0-49f7-a7f0-25f259a2cd21,prepared-1f1b85053b8c9ea1-453c50ff177c277b-8acc7b3a,5,01:15,15,0.0,0.0,0.0,0.0,118.47750299583507,0.0,0.0,2291.8231028299056,118.47750299583507,0.0,0.0
SUNNY,771d115b-75b0-49f7-a7f0-25f259a2cd21,prepared-1f1b85053b8c9ea1-453c50ff177c277b-8acc7b3a,6,01:30,15,0.0,0.0,0.0,0.0,120.00009999999997,0.0,0.0,2165.5072080930636,120.00009999999997,0.0,0.0
SUNNY,771d115b-75b0-49f7-a7f0-25f259a2cd21,prepared-1f1b85053b8c9ea1-453c50ff177c277b-8acc7b3a,7,01:45,15,0.0,0.0,0.0,0.0,146.5278663789403,0.0,0.0,2011.26734874681,146.5278663789403,0.0,0.0
SUNNY,771d115b-75b0-49f7-a7f0-25f259a2cd21,prepared-1f1b85053b8c9ea1-453c50ff177c277b-8acc7b3a,8,02:00,15,0.0,0.0,0.0,0.0,71.3250078063091,0.0,0.0,1936.1883931612215,71.3250078063091,0.0,0.0
SUNNY,771d115b-75b0-49f7-a7f0-25f259a2cd21,prepared-1f1b85053b8c9ea1-453c50ff177c277b-8acc7b3a,9,02:15,15,0.0,0.0,0.0,0.0,74.30441027578948,0.0,0.0,1857.9732244498641,74.30441027578948,0.0,0.0
