physical_assignment_sha256,used_bev,used_ice,bev_trips,ice_trips,source_candidate_hash,sunny_cost_jpy,rain_cost_jpy,rain_minus_sunny_jpy,sunny_rank,rain_rank,selected_sunny,selected_rain
0890d2b05c4ef5f8f106b40ad1548696e10d7c060fcf32bb62cd3dded42229a1,23,9,121,143,b491ffee4b645a4e18471822aafabc97c3ab100f54d63acecdceb01b15376b08,685663.511395,700546.567215,14883.055820,6,4,False,False
0de9a6ab9fa8277f26dbcb6c3e5424ec22f59d789a1c3f9dd9e829bbe81d0361,16,16,50,214,c4c505dcfb5ff1ea60768004b70d2721bb638292704db01028c918eb7b051698,706431.280529,706431.280529,0.000000,13,12,False,False
20cee42a2373bd06c6221787f06df2504544b0dd048e48e0de4658fa532d4e77,33,18,51,213,4d74261e0e229803b56e4f5ce3651a2a4ca97326b6aab5a96d4f00d57da20695,1087269.094705,1087269.094705,0.000000,20,20,False,False
213b2ccd409559807467d9726bdf7eb4958f9c1d5d68c3363e95db5299d65316,21,11,91,173,c6cb0cc9574f1964d3761001ec64bdd7287cb252e56a3509f2627e2623a03034,694607.644372,698296.465284,3688.820912,8,1,False,True
223933f431651836b4bb41056c1b77880abdd30d38e746e4b0f7db831eed1fde,14,18,46,218,f2bf4f1ebc2123e6114a17683659a8e418270caff8f951214a42e927312db3bc,707349.173370,707349.173370,0.000000,15,15,False,False
23efc4a2ab99e6a039ba8aaa172e7865d0806fa51242438bb4daaa7d2d974eca,29,18,47,217,5f9cd555a7c397feb3a34ba1a95d2f5e3c9e65a0fc047a4769c45607381d9caf,1007361.274883,1007361.274883,0.000000,16,16,False,False
5ba26c68511b0a63e4ef14c60935b382a57aafac375d5bcc857b1e485834db0f,18,14,59,205,7ddb08cec49d9051f6b92adf6ad72477de19e46709ffab6e15b455e9c017a568,704318.633649,704318.633649,0.000000,11,9,False,False
65478159445a0c00501945675704c0178f0b2dc8ca02faa7003057a6b9b8f037,19,13,64,200,0d1c20241682c38f2aa95264fe2fba660ef110a846addcf1812b9fbfd80f1349,703024.529786,703024.529786,0.000000,10,6,False,False
662702cc3fb2681a377ebe541a921cb54978cbf77125128b687e685be555b109,22,10,105,159,fbf4102a9931f99643e11bea3993ae0b9d4d9b6bf54d26af9e634e4ca37bda02,690112.753616,699427.258218,9314.504602,7,3,False,False
76fb6a9b635bce41ae73db10f08facc7862a1f55a4465004457e79838c9a516c,28,4,199,65,db0b67eda7aecd03f57a277a57d87c4dfa722cf1f73b5d2cead06efaa19c4aab,660983.783805,706714.244203,45730.460398,1,13,True,False
ab0f9d80e7a5df0fe3b7d92ccffd930a4373349a14720c411524efe6e747f08b,25,7,152,112,a18de4d5588f4c40dcc6f3b3d823e886fe82591ecd25d56aac982823ac9cd0f6,675803.854709,703026.990147,27223.135438,4,7,False,False
b73e8c639f783d7df9f87fff0f79aecc4d8b543ee4a08916c7ad3edea9da61b5,32,18,50,214,015bd67590e8d0c94272b265aee6a1f5db670a440e1943956c2059eeeae172d5,1067331.312482,1067331.312482,0.000000,19,19,False,False
baf28cee74e6cb3a7d38811e4e78df3a2b5a1b96a4be9ea4f84703aaea555798,24,8,137,127,740d559976a65c9f771ece25467601716f0720341a876e81ce899e9cd66607ef,680592.631604,701822.263410,21229.631806,5,5,False,False
cff27e8a768bf48f0a0dd830ebd62643b99dec066325d5cc5d7a536b1dd1ba79,17,15,54,210,738008fead355bc833880f887972922ab0e7ec793a499e6777bad9e49fe8ded2,705596.034961,705596.034961,0.000000,12,11,False,False
dd3c7bbc38bbbb3cc7f9237b7d696b935c3c0264272ac27930a1b769c0f0393d,31,18,49,215,b32fce98a5368050d85f4f8d07eb52a8684ed6da0f8f4e5ce0dc6d5e9636eb5c,1047311.158619,1047311.158619,0.000000,18,18,False,False
ddeb4211cfc03b47cc7403c0d1babc939b410f94f0c300491792a794616ebe80,26,6,167,97,aa55c76cf7871bb8ca4a6559745341bae8575986bd6046cb2dfd9c75f736b95a,671015.077038,704231.717079,33216.640042,3,8,False,False
e511bd6940ac14fa39148178676a79bb32dc20e3cc4f821a54a36bbd8e3dcf1f,20,12,77,187,b4f0a36c694d539fe75b8d3a6d38ffce9e3ccb53773cbc0f7367c62f735194cb,698863.087754,698863.087754,0.000000,9,2,False,False
e5a0b6aa409d52be836449063e720054d442693dbfdaaf3d11f8fb928b1c7f1a,15,17,48,216,152bb82e5e88138615a5f86b151b5ea5ec8d8b74db0330b175c53500a2463836,706897.342701,706897.342701,0.000000,14,14,False,False
e7d6d5694209a960cccd6c2f20729c92bcab88089cc2abdf6474ef82a5822db1,30,18,48,216,bd3cb324eeeb0c43f41ae48e196e1f0f97b37ed0f76e11d2a6b415ac7f65fd12,1027299.057106,1027299.057106,0.000000,17,17,False,False
f1c7f3cd925b59fc21c91a086f18ae067e28aab7f8ece26dcb8ab9a535378f93,35,18,53,211,224f0149fff64c812af2093335b4a40a3228e9e76d1a421e54cbb1d7a76007ab,1126803.060923,1126803.060923,0.000000,22,22,False,False
f84e87d75edf3de1f9f1d64b225811bc7f27fd2b3e552c6b6e926b507afe1a5b,34,18,52,212,0f96311ad938c86155972bc4ca558e405b8bfc1abc7e5513fcd52177b6561a14,1106790.959410,1106790.959410,0.000000,21,21,False,False
f932b55a1d8f4bdd80c24466353e6db3669e2b168729bd99769a7d1b9f057493,27,5,183,81,3cca5d222273f3d023c68aa44537ea7db82ceef4833ee135310f693c65aa97be,666164.082366,705452.096126,39288.013760,2,10,False,False
