指標,SUNNY,RAIN,RAIN－SUNNY,単位
使用BEV,28,21,-7,台
使用ICE,4,11,7,台
BEV担当便,199,91,-108,便
ICE担当便,65,173,108,便
24時間Rolling評価額,660983.783804500243,698598.628643160569,37614.844838660327,円
燃料使用量,137.521124115044,357.881338716814,220.36021460177,L
PV発電量,6056.25,996.2,-5060.05,kWh
系統購入量,0,130.851943319913,130.851943319913,kWh
Stage 1 certified gap,9.521347575598,1.656358088352,-7.864989487246,%
最適化計算時間,380.982322296768,380.018798073055,-0.963524223713,秒
正当性確認,264/264便・物理検算・24/24 Rolling・会計検算 PASS,264/264便・物理検算・24/24 Rolling・会計検算 PASS,両ケースPASS,-
