scenario,trip_id,vehicle_id,powertrain,route_id,route_family,direction,departure,arrival,departure_min,arrival_min,service_distance_km,service_minutes,distance_source
SUNNY,odpt.BusTimetable:TokyuBus.Shibu23.0004602189.Kamimachi.00240159.b.Weekday.0551,ff03ad3a-409a-43ef-9c63-384bacb5f9d2,BEV,odpt-route-d398fae40154,渋23,outbound,05:51,06:11,351,371,3.775663,20,trip_stop_sequence_polyline_haversine
SUNNY,odpt.BusTimetable:TokyuBus.Shibu21.0004600838.Kamimachieki.00240154.a.Weekday.0558,35f95479-c68e-40bc-b31a-1f0a5490227c,BEV,odpt-route-495b9472e61b,渋21,outbound,05:58,06:25,358,385,5.508238,27,trip_stop_sequence_polyline_haversine
SUNNY,odpt.BusTimetable:TokyuBus.Shibu21.0004600838.Kamimachieki.00240154.a.Weekday.0603,2e2015fd-c7c1-4c32-8498-ebb6be29cc4c,BEV,odpt-route-495b9472e61b,渋21,outbound,06:03,06:30,363,390,5.508238,27,trip_stop_sequence_polyline_haversine
SUNNY,odpt.BusTimetable:TokyuBus.Shibu21.0004602125.Sakurashougakkou.00240160.a.Weekday.0605,e56620e3-804c-41a3-9441-b054b74c1392,BEV,odpt-route-599baa9cb2fb,渋21,outbound,06:05,06:34,365,394,5.703012,29,trip_stop_sequence_polyline_haversine
SUNNY,odpt.BusTimetable:TokyuBus.Shibu21.0004600838.Kamimachieki.00240154.a.Weekday.0608,e0772317-52e2-4e70-bfc8-1eb486f0f75c,BEV,odpt-route-495b9472e61b,渋21,outbound,06:08,06:35,368,395,5.508238,27,trip_stop_sequence_polyline_haversine
SUNNY,odpt.BusTimetable:TokyuBus.Shibu22.0004602328.Kamimachi.00240159.b.Weekday.0610,cf7b771e-a6ac-4e0b-9738-ad3901a68307,BEV,odpt-route-0b2ab9e74da1,渋22,outbound,06:10,06:26,370,386,3.277198,16,trip_stop_sequence_polyline_haversine
SUNNY,odpt.BusTimetable:TokyuBus.Shibu21.0004600838.Kamimachieki.00240154.a.Weekday.0613,1804ab20-a2a0-475c-b4d0-71d8a72c192f,BEV,odpt-route-495b9472e61b,渋21,outbound,06:13,06:40,373,400,5.508238,27,trip_stop_sequence_polyline_haversine
SUNNY,odpt.BusTimetable:TokyuBus.Shibu23.0004600812.Soshigayaookuraeki.00240324.1.Weekday.0615,e4463ae4-7450-4ea4-b9e5-46962d854a07,ICE,odpt-route-e3a3088fd8ba,渋23,inbound,06:15,06:58,375,418,9.262104,43,trip_stop_sequence_polyline_haversine
SUNNY,odpt.BusTimetable:TokyuBus.Shibu21.0004600838.Kamimachieki.00240154.a.Weekday.0618,dcf6407f-77ac-4c32-a840-49fcc7f9a525,BEV,odpt-route-495b9472e61b,渋21,outbound,06:18,06:45,378,405,5.508238,27,trip_stop_sequence_polyline_haversine
SUNNY,odpt.BusTimetable:TokyuBus.Shibu23.0004602189.Kamimachi.00240159.b.Weekday.0620,3acd650a-ca8c-4114-9922-f514a915f460,BEV,odpt-route-d398fae40154,渋23,outbound,06:20,06:40,380,400,3.775663,20,trip_stop_sequence_polyline_haversine
SUNNY,odpt.BusTimetable:TokyuBus.Shibu21.0004600838.Kamimachieki.00240154.a.Weekday.0623,d225af48-8eec-47b7-abb1-34cfe83e31f0,BEV,odpt-route-495b9472e61b,渋21,outbound,06:23,06:50,383,410,5.508238,27,trip_stop_sequence_polyline_haversine
SUNNY,odpt.BusTimetable:TokyuBus.Shibu21.0004602125.Sakurashougakkou.00240160.a.Weekday.0623,d10aa797-db07-40a2-b52b-d4caf02ff33b,BEV,odpt-route-599baa9cb2fb,渋21,outbound,06:23,06:52,383,412,5.703012,29,trip_stop_sequence_polyline_haversine
SUNNY,odpt.BusTimetable:TokyuBus.Shibu21.0004600838.Kamimachieki.00240154.a.Weekday.0628,0549a411-fd2a-4339-b4a3-45a3b7d37898,BEV,odpt-route-495b9472e61b,渋21,outbound,06:28,06:55,388,415,5.508238,27,trip_stop_sequence_polyline_haversine
SUNNY,odpt.BusTimetable:TokyuBus.Shibu22.0004602849.Yougaeki.00240311.2.Weekday.0630,8270c9a2-ed1f-4508-81a0-0903ddc4924c,BEV,odpt-route-206aa2ef5f3a,渋22,inbound,06:30,07:11,390,431,8.763639,41,trip_stop_sequence_polyline_haversine
SUNNY,odpt.BusTimetable:TokyuBus.Shibu23.0004602972.Shibuyaeki.00240050.5.Weekday.0630,b46f03c3-cfd6-4398-ad6a-a3bbfac7528f,ICE,odpt-route-fb12ae43f5b0,渋23,outbound,06:30,07:12,390,432,9.376639,42,trip_stop_sequence_polyline_haversine
SUNNY,odpt.BusTimetable:TokyuBus.Shibu21.0004602125.Sakurashougakkou.00240160.a.Weekday.0631,ce309a0b-8c0b-49dc-a839-171db28e76a4,BEV,odpt-route-599baa9cb2fb,渋21,outbound,06:31,07:00,391,420,5.703012,29,trip_stop_sequence_polyline_haversine
SUNNY,odpt.BusTimetable:TokyuBus.Shibu22.0004602328.Kamimachi.00240159.b.Weekday.0633,4f5a4c1d-cac3-4fd2-87a8-cf0049c71ebe,BEV,odpt-route-0b2ab9e74da1,渋22,outbound,06:33,06:49,393,409,3.277198,16,trip_stop_sequence_polyline_haversine
SUNNY,odpt.BusTimetable:TokyuBus.Shibu22.0004602969.Shibuyaeki.00240050.5.Weekday.0635,66629acd-98e0-4911-bc68-cd1c9b434a49,BEV,odpt-route-a6b5e7bf98f7,渋22,outbound,06:35,07:14,395,434,8.878174,39,trip_stop_sequence_polyline_haversine
SUNNY,odpt.BusTimetable:TokyuBus.Shibu21.0004600838.Kamimachieki.00240154.a.Weekday.0636,ca16a2ca-147b-4359-92db-913031d5faff,BEV,odpt-route-495b9472e61b,渋21,outbound,06:36,07:03,396,423,5.508238,27,trip_stop_sequence_polyline_haversine
SUNNY,odpt.BusTimetable:TokyuBus.Shibu21.0004602125.Sakurashougakkou.00240160.a.Weekday.0639,builder-bev-tsurumaki-010,BEV,odpt-route-599baa9cb2fb,渋21,outbound,06:39,07:08,399,428,5.703012,29,trip_stop_sequence_polyline_haversine
SUNNY,odpt.BusTimetable:TokyuBus.Shibu23.0004602189.Kamimachi.00240159.b.Weekday.0639,992b60f3-a928-4505-ad03-258145614671,ICE,odpt-route-d398fae40154,渋23,outbound,06:39,06:59,399,419,3.775663,20,trip_stop_sequence_polyline_haversine
SUNNY,odpt.BusTimetable:TokyuBus.Shibu23.0004602972.Shibuyaeki.00240050.5.Weekday.0640,83b7c190-860f-449d-9fa5-cf6acc616e22,ICE,odpt-route-fb12ae43f5b0,渋23,outbound,06:40,07:22,400,442,9.376639,42,trip_stop_sequence_polyline_haversine
SUNNY,odpt.BusTimetable:TokyuBus.Shibu23.0004600812.Soshigayaookuraeki.00240324.1.Weekday.0644,ff03ad3a-409a-43ef-9c63-384bacb5f9d2,BEV,odpt-route-e3a3088fd8ba,渋23,inbound,06:44,07:27,404,447,9.262104,43,trip_stop_sequence_polyline_haversine
SUNNY,odpt.BusTimetable:TokyuBus.Shibu22.0004602969.Shibuyaeki.00240050.5.Weekday.0646,builder-bev-tsurumaki-009,BEV,odpt-route-a6b5e7bf98f7,渋22,outbound,06:46,07:25,406,445,8.878174,39,trip_stop_sequence_polyline_haversine
SUNNY,odpt.BusTimetable:TokyuBus.Shibu22.0004602328.Kamimachi.00240159.b.Weekday.0647,58bf7ff7-1083-4fbf-84b3-58d45c129f30,BEV,odpt-route-0b2ab9e74da1,渋22,outbound,06:47,07:03,407,423,3.277198,16,trip_stop_sequence_polyline_haversine
SUNNY,odpt.BusTimetable:TokyuBus.Shibu21.0004600838.Kamimachieki.00240154.a.Weekday.0651,builder-bev-tsurumaki-008,BEV,odpt-route-495b9472e61b,渋21,outbound,06:51,07:18,411,438,5.508238,27,trip_stop_sequence_polyline_haversine
SUNNY,odpt.BusTimetable:TokyuBus.Shibu22.0004602969.Shibuyaeki.00240050.5.Weekday.0651,3e38e74f-191a-4b72-8061-59f0020151e3,BEV,odpt-route-a6b5e7bf98f7,渋22,outbound,06:51,07:30,411,450,8.878174,39,trip_stop_sequence_polyline_haversine
SUNNY,odpt.BusTimetable:TokyuBus.Shibu21.0004602125.Sakurashougakkou.00240160.a.Weekday.0653,0c9b7317-11ce-4340-ad98-a702eaacaaa4,BEV,odpt-route-599baa9cb2fb,渋21,outbound,06:53,07:22,413,442,5.703012,29,trip_stop_sequence_polyline_haversine
SUNNY,odpt.BusTimetable:TokyuBus.Shibu21.0004600838.Kamimachieki.00240154.a.Weekday.0656,builder-bev-tsurumaki-007,BEV,odpt-route-495b9472e61b,渋21,outbound,06:56,07:23,416,443,5.508238,27,trip_stop_sequence_polyline_haversine
