scenario,scenario_id,prepared_input_id,slot_index,time,slot_minutes,pv_generated_kwh,pv_to_bus_kwh,pv_to_bess_kwh,pv_curtailed_kwh,bess_to_bus_kwh,grid_to_bus_kwh,grid_to_bess_kwh,bess_soc_end_kwh,bev_charging_load_kwh,grid_import_kwh,grid_import_kw,charging_sessions_gt_1e_minus6_kw,charging_sessions_ge_1_kw,charging_kw,bess_at_upper_bound_1e3_kwh,all_ports_power_active
SUNNY,771d115b-75b0-49f7-a7f0-25f259a2cd21,prepared-1f1b85053b8c9ea1-453c50ff177c277b-8acc7b3a,0,00:00,15,0.0,0.0,0.0,0.0,94.01382427368411,0.0,0.0,2901.0380797119115,94.01382427368411,0.0,0.0,10,9,376.05529709473643,False,True
SUNNY,771d115b-75b0-49f7-a7f0-25f259a2cd21,prepared-1f1b85053b8c9ea1-453c50ff177c277b-8acc7b3a,1,00:15,15,0.0,0.0,0.0,0.0,99.57485137898631,0.0,0.0,2796.2224466813996,99.57485137898631,0.0,0.0,10,8,398.29940551579267,False,True
SUNNY,771d115b-75b0-49f7-a7f0-25f259a2cd21,prepared-1f1b85053b8c9ea1-453c50ff177c277b-8acc7b3a,2,00:30,15,0.0,0.0,0.0,0.0,126.10878402311448,0.0,0.0,2663.476358236016,126.10878402311448,0.0,0.0,10,8,504.435136092458,False,True
SUNNY,771d115b-75b0-49f7-a7f0-25f259a2cd21,prepared-1f1b85053b8c9ea1-453c50ff177c277b-8acc7b3a,3,00:45,15,0.0,0.0,0.0,0.0,121.94018131578957,0.0,0.0,2535.118272640448,121.94018131578957,0.0,0.0,9,7,487.76072526315835,False,False
SUNNY,771d115b-75b0-49f7-a7f0-25f259a2cd21,prepared-1f1b85053b8c9ea1-453c50ff177c277b-8acc7b3a,4,01:00,15,0.0,0.0,0.0,0.0,112.65290832418052,0.0,0.0,2416.536263878153,112.65290832418052,0.0,0.0,9,8,450.61163329672206,False,False
SUNNY,771d115b-75b0-49f7-a7f0-25f259a2cd21,prepared-1f1b85053b8c9ea1-453c50ff177c277b-8acc7b3a,5,01:15,15,0.0,0.0,0.0,0.0,118.47750299583507,0.0,0.0,2291.8231028299056,118.47750299583507,0.0,0.0,10,8,473.910011983333,False,True
SUNNY,771d115b-75b0-49f7-a7f0-25f259a2cd21,prepared-1f1b85053b8c9ea1-453c50ff177c277b-8acc7b3a,6,01:30,15,0.0,0.0,0.0,0.0,120.00009999999997,0.0,0.0,2165.5072080930636,120.00009999999997,0.0,0.0,10,6,480.0004,False,True
SUNNY,771d115b-75b0-49f7-a7f0-25f259a2cd21,prepared-1f1b85053b8c9ea1-453c50ff177c277b-8acc7b3a,7,01:45,15,0.0,0.0,0.0,0.0,146.5278663789403,0.0,0.0,2011.26734874681,146.5278663789403,0.0,0.0,9,9,586.1114655157642,False,False
SUNNY,771d115b-75b0-49f7-a7f0-25f259a2cd21,prepared-1f1b85053b8c9ea1-453c50ff177c277b-8acc7b3a,8,02:00,15,0.0,0.0,0.0,0.0,71.3250078063091,0.0,0.0,1936.1883931612215,71.3250078063091,0.0,0.0,8,7,285.3000312252364,False,False
SUNNY,771d115b-75b0-49f7-a7f0-25f259a2cd21,prepared-1f1b85053b8c9ea1-453c50ff177c277b-8acc7b3a,9,02:15,15,0.0,0.0,0.0,0.0,74.30441027578948,0.0,0.0,1857.9732244498641,74.30441027578948,0.0,0.0,6,4,297.21764110315786,False,False
SUNNY,771d115b-75b0-49f7-a7f0-25f259a2cd21,prepared-1f1b85053b8c9ea1-453c50ff177c277b-8acc7b3a,10,02:30,15,0.0,0.0,0.0,0.0,89.91834114105261,0.0,0.0,1763.3223390382298,89.91834114105261,0.0,0.0,5,4,359.67336456421043,False,False
SUNNY,771d115b-75b0-49f7-a7f0-25f259a2cd21,prepared-1f1b85053b8c9ea1-453c50ff177c277b-8acc7b3a,11,02:45,15,0.0,0.0,0.0,0.0,56.783687519966776,0.0,0.0,1703.5500363856343,56.783687519966776,0.0,0.0,6,4,227.1347500798671,False,False
SUNNY,771d115b-75b0-49f7-a7f0-25f259a2cd21,prepared-1f1b85053b8c9ea1-453c50ff177c277b-8acc7b3a,12,03:00,15,0.0,0.0,0.0,0.0,100.64159947368435,0.0,0.0,1597.6115106238612,100.64159947368435,0.0,0.0,10,9,402.56639789473746,False,True
SUNNY,771d115b-75b0-49f7-a7f0-25f259a2cd21,prepared-1f1b85053b8c9ea1-453c50ff177c277b-8acc7b3a,13,03:15,15,0.0,0.0,0.0,0.0,67.5002052631578,0.0,0.0,1526.558662978432,67.5002052631578,0.0,0.0,10,5,270.00082105263124,False,True
SUNNY,771d115b-75b0-49f7-a7f0-25f259a2cd21,prepared-1f1b85053b8c9ea1-453c50ff177c277b-8acc7b3a,14,03:30,15,0.0,0.0,0.0,0.0,45.00023552631565,0.0,0.0,1479.189994003363,45.00023552631565,0.0,0.0,6,3,180.0009421052626,False,False
SUNNY,771d115b-75b0-49f7-a7f0-25f259a2cd21,prepared-1f1b85053b8c9ea1-453c50ff177c277b-8acc7b3a,15,03:45,15,0.0,0.0,0.0,0.0,4.791351052631561,0.0,0.0,1474.1464665795402,4.791351052631561,0.0,0.0,6,1,19.165404210526244,False,False
