trip_id,route_family,departure,sunny_powertrain,rain_powertrain,service_distance_km
odpt.BusTimetable:TokyuBus.Shibu23.0004602189.Kamimachi.00240159.b.Weekday.0551,渋23,05:51,BEV,BEV,3.775663
odpt.BusTimetable:TokyuBus.Shibu21.0004600838.Kamimachieki.00240154.a.Weekday.0558,渋21,05:58,BEV,BEV,5.508238
odpt.BusTimetable:TokyuBus.Shibu21.0004600838.Kamimachieki.00240154.a.Weekday.0603,渋21,06:03,BEV,BEV,5.508238
odpt.BusTimetable:TokyuBus.Shibu21.0004602125.Sakurashougakkou.00240160.a.Weekday.0605,渋21,06:05,BEV,BEV,5.703012
odpt.BusTimetable:TokyuBus.Shibu21.0004600838.Kamimachieki.00240154.a.Weekday.0608,渋21,06:08,BEV,BEV,5.508238
odpt.BusTimetable:TokyuBus.Shibu22.0004602328.Kamimachi.00240159.b.Weekday.0610,渋22,06:10,BEV,BEV,3.277198
odpt.BusTimetable:TokyuBus.Shibu21.0004600838.Kamimachieki.00240154.a.Weekday.0613,渋21,06:13,BEV,BEV,5.508238
odpt.BusTimetable:TokyuBus.Shibu23.0004600812.Soshigayaookuraeki.00240324.1.Weekday.0615,渋23,06:15,ICE,ICE,9.262104
odpt.BusTimetable:TokyuBus.Shibu21.0004600838.Kamimachieki.00240154.a.Weekday.0618,渋21,06:18,BEV,BEV,5.508238
odpt.BusTimetable:TokyuBus.Shibu23.0004602189.Kamimachi.00240159.b.Weekday.0620,渋23,06:20,BEV,BEV,3.775663
odpt.BusTimetable:TokyuBus.Shibu21.0004600838.Kamimachieki.00240154.a.Weekday.0623,渋21,06:23,BEV,BEV,5.508238
odpt.BusTimetable:TokyuBus.Shibu21.0004602125.Sakurashougakkou.00240160.a.Weekday.0623,渋21,06:23,BEV,BEV,5.703012
odpt.BusTimetable:TokyuBus.Shibu21.0004600838.Kamimachieki.00240154.a.Weekday.0628,渋21,06:28,BEV,BEV,5.508238
odpt.BusTimetable:TokyuBus.Shibu22.0004602849.Yougaeki.00240311.2.Weekday.0630,渋22,06:30,BEV,ICE,8.763639
odpt.BusTimetable:TokyuBus.Shibu23.0004602972.Shibuyaeki.00240050.5.Weekday.0630,渋23,06:30,ICE,ICE,9.376639
odpt.BusTimetable:TokyuBus.Shibu21.0004602125.Sakurashougakkou.00240160.a.Weekday.0631,渋21,06:31,BEV,BEV,5.703012
odpt.BusTimetable:TokyuBus.Shibu22.0004602328.Kamimachi.00240159.b.Weekday.0633,渋22,06:33,BEV,ICE,3.277198
odpt.BusTimetable:TokyuBus.Shibu22.0004602969.Shibuyaeki.00240050.5.Weekday.0635,渋22,06:35,BEV,ICE,8.878174
odpt.BusTimetable:TokyuBus.Shibu21.0004600838.Kamimachieki.00240154.a.Weekday.0636,渋21,06:36,BEV,BEV,5.508238
odpt.BusTimetable:TokyuBus.Shibu21.0004602125.Sakurashougakkou.00240160.a.Weekday.0639,渋21,06:39,BEV,BEV,5.703012
odpt.BusTimetable:TokyuBus.Shibu23.0004602189.Kamimachi.00240159.b.Weekday.0639,渋23,06:39,ICE,ICE,3.775663
odpt.BusTimetable:TokyuBus.Shibu23.0004602972.Shibuyaeki.00240050.5.Weekday.0640,渋23,06:40,ICE,ICE,9.376639
odpt.BusTimetable:TokyuBus.Shibu23.0004600812.Soshigayaookuraeki.00240324.1.Weekday.0644,渋23,06:44,BEV,BEV,9.262104
odpt.BusTimetable:TokyuBus.Shibu22.0004602969.Shibuyaeki.00240050.5.Weekday.0646,渋22,06:46,BEV,BEV,8.878174
odpt.BusTimetable:TokyuBus.Shibu22.0004602328.Kamimachi.00240159.b.Weekday.0647,渋22,06:47,BEV,ICE,3.277198
odpt.BusTimetable:TokyuBus.Shibu21.0004600838.Kamimachieki.00240154.a.Weekday.0651,渋21,06:51,BEV,BEV,5.508238
odpt.BusTimetable:TokyuBus.Shibu22.0004602969.Shibuyaeki.00240050.5.Weekday.0651,渋22,06:51,BEV,BEV,8.878174
odpt.BusTimetable:TokyuBus.Shibu21.0004602125.Sakurashougakkou.00240160.a.Weekday.0653,渋21,06:53,BEV,BEV,5.703012
odpt.BusTimetable:TokyuBus.Shibu21.0004600838.Kamimachieki.00240154.a.Weekday.0656,渋21,06:56,BEV,BEV,5.508238
odpt.BusTimetable:TokyuBus.Shibu22.0004602849.Yougaeki.00240311.2.Weekday.0656,渋22,06:56,BEV,BEV,8.763639
odpt.BusTimetable:TokyuBus.Shibu23.0004602972.Shibuyaeki.00240050.5.Weekday.0657,渋23,06:57,BEV,ICE,9.376639
odpt.BusTimetable:TokyuBus.Shibu22.0004602969.Shibuyaeki.00240050.5.Weekday.0703,渋22,07:03,BEV,BEV,8.878174
odpt.BusTimetable:TokyuBus.Shibu21.0004600838.Kamimachieki.00240154.a.Weekday.0705,渋21,07:05,BEV,BEV,5.508238
odpt.BusTimetable:TokyuBus.Shibu21.0004602125.Sakurashougakkou.00240160.a.Weekday.0706,渋21,07:06,BEV,BEV,5.703012
odpt.BusTimetable:TokyuBus.Shibu22.0004602969.Shibuyaeki.00240050.5.Weekday.0708,渋22,07:08,BEV,ICE,8.878174
odpt.BusTimetable:TokyuBus.Shibu23.0004600812.Soshigayaookuraeki.00240324.1.Weekday.0709,渋23,07:09,ICE,ICE,9.262104
odpt.BusTimetable:TokyuBus.Shibu23.0004602972.Shibuyaeki.00240050.5.Weekday.0713,渋23,07:13,ICE,ICE,9.376639
