scenario,scenario_id,prepared_input_id,slot_index,time,slot_minutes,pv_generated_kwh,pv_to_bus_kwh,pv_to_bess_kwh,pv_curtailed_kwh,bess_to_bus_kwh,grid_to_bus_kwh,grid_to_bess_kwh,bess_soc_end_kwh,bev_charging_load_kwh,grid_import_kwh,grid_import_kw
RAIN,b23fd26c-1233-4c73-bb9e-bdb8b1584760,prepared-a6c5e0a8cdd9b32b-f1e18f252e336f1f-8acc7b3a,0,00:00,15,0.0,0.0,0.0,0.0,45.000025,0.0,0.0,2952.631552631579,45.000025,0.0,0.0
RAIN,b23fd26c-1233-4c73-bb9e-bdb8b1584760,prepared-a6c5e0a8cdd9b32b-f1e18f252e336f1f-8acc7b3a,1,00:15,15,0.0,0.0,0.0,0.0,49.8782345136842,3.54097722736842,0.0,2900.1281478803326,53.41921174105262,3.54097722736842,14.16390890947368
RAIN,b23fd26c-1233-4c73-bb9e-bdb8b1584760,prepared-a6c5e0a8cdd9b32b-f1e18f252e336f1f-8acc7b3a,2,00:30,15,0.0,0.0,0.0,0.0,44.91839114105262,2.5e-05,0.0,2852.8456308897507,44.918416141052624,2.5e-05,0.0001
RAIN,b23fd26c-1233-4c73-bb9e-bdb8b1584760,prepared-a6c5e0a8cdd9b32b-f1e18f252e336f1f-8acc7b3a,3,00:45,15,0.0,0.0,0.0,0.0,37.5,0.0,0.0,2813.3719466792245,37.5,0.0,0.0
RAIN,b23fd26c-1233-4c73-bb9e-bdb8b1584760,prepared-a6c5e0a8cdd9b32b-f1e18f252e336f1f-8acc7b3a,4,01:00,15,0.0,0.0,0.0,0.0,53.51551052631586,0.0,0.0,2757.039830335734,53.51551052631586,0.0,0.0
RAIN,b23fd26c-1233-4c73-bb9e-bdb8b1584760,prepared-a6c5e0a8cdd9b32b-f1e18f252e336f1f-8acc7b3a,5,01:15,15,0.0,0.0,0.0,0.0,64.31882511368421,0.0,0.0,2689.3358039002774,64.31882511368421,0.0,0.0
RAIN,b23fd26c-1233-4c73-bb9e-bdb8b1584760,prepared-a6c5e0a8cdd9b32b-f1e18f252e336f1f-8acc7b3a,6,01:30,15,0.0,0.0,0.0,0.0,2.5e-05,0.0,0.0,2689.335777584488,2.5e-05,0.0,0.0
RAIN,b23fd26c-1233-4c73-bb9e-bdb8b1584760,prepared-a6c5e0a8cdd9b32b-f1e18f252e336f1f-8acc7b3a,7,01:45,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2689.335777584488,0.0,0.0,0.0
RAIN,b23fd26c-1233-4c73-bb9e-bdb8b1584760,prepared-a6c5e0a8cdd9b32b-f1e18f252e336f1f-8acc7b3a,8,02:00,15,0.0,0.0,0.0,0.0,37.5,0.0,0.0,2649.8620933739617,37.5,0.0,0.0
RAIN,b23fd26c-1233-4c73-bb9e-bdb8b1584760,prepared-a6c5e0a8cdd9b32b-f1e18f252e336f1f-8acc7b3a,9,02:15,15,0.0,0.0,0.0,0.0,2.550024999999756,0.0,0.0,2647.1778565318564,2.550024999999756,0.0,0.0
