vehicle_id,vehicle_type,task_id,start_time_idx,end_time_idx,origin,destination,distance_km,energy_kwh_bev
BEV_01,BEV,T_Weekday.0541,2,4,目黒郵便局,権之助坂,2.388,2.866
BEV_01,BEV,T_Weekday.0615,5,6,目黒郵便局,権之助坂,2.388,2.866
BEV_01,BEV,T_Weekday.0647__dup1,7,9,目黒駅前,大岡山小学校前,4.468,5.362
BEV_01,BEV,T_Weekday.0730,10,12,目黒駅前,大岡山小学校前,4.468,5.362
BEV_01,BEV,T_Weekday.0815,13,15,目黒駅前,大岡山小学校前,4.468,5.362
BEV_01,BEV,T_Weekday.0900,16,18,目黒駅前,大岡山小学校前,4.468,5.362
BEV_01,BEV,T_Weekday.0947,19,22,目黒駅前,大岡山小学校前,4.468,5.362
BEV_01,BEV,T_Weekday.1049,23,26,目黒駅前,大岡山小学校前,4.468,5.362
BEV_01,BEV,T_Weekday.1146,27,30,目黒駅前,大岡山小学校前,4.468,5.362
BEV_01,BEV,T_Weekday.1248,31,34,目黒駅前,大岡山小学校前,4.468,5.362
BEV_01,BEV,T_Weekday.1345,35,38,目黒駅前,大岡山小学校前,4.468,5.362
BEV_01,BEV,T_Weekday.1447,39,42,目黒駅前,大岡山小学校前,4.468,5.362
BEV_01,BEV,T_Weekday.1550,43,46,目黒駅前,大岡山小学校前,4.468,5.362
BEV_01,BEV,T_Weekday.1649,47,50,目黒駅前,大岡山小学校前,4.468,5.362
BEV_01,BEV,T_Weekday.1747,51,53,目黒駅前,大岡山小学校前,4.468,5.362
BEV_01,BEV,T_Weekday.1833,54,57,目黒駅前,大岡山小学校前,4.468,5.362
BEV_01,BEV,T_Weekday.1931,58,60,目黒駅前,大岡山小学校前,4.468,5.362
BEV_01,BEV,T_Weekday.2017,61,63,目黒駅前,大岡山小学校前,4.468,5.362
BEV_01,BEV,T_Weekday.2104,64,66,目黒駅前,大岡山小学校前,4.468,5.362
BEV_01,BEV,T_Weekday.2151,67,69,目黒駅前,大岡山小学校前,4.468,5.362
BEV_01,BEV,T_Weekday.2239,70,72,目黒駅前,大岡山小学校前,4.468,5.362
BEV_01,BEV,T_Weekday.2319,73,74,目黒駅前,清水,2.213,2.656
BEV_02,BEV,T_Weekday.0543,2,3,清水,目黒駅前,2.213,2.656
BEV_02,BEV,T_Weekday.0601__dup1,4,5,清水,目黒駅前,2.213,2.656
BEV_02,BEV,T_Weekday.0632,6,7,清水,目黒駅前,2.213,2.656
BEV_02,BEV,T_Weekday.0701,8,10,目黒駅前,大岡山小学校前,4.468,5.362
BEV_02,BEV,T_Weekday.0748,11,14,目黒駅前,大岡山小学校前,4.468,5.362
BEV_02,BEV,T_Weekday.0845,15,17,目黒駅前,大岡山小学校前,4.468,5.362
BEV_02,BEV,T_Weekday.0930,18,21,目黒駅前,大岡山小学校前,4.468,5.362
BEV_02,BEV,T_Weekday.1032,22,25,目黒駅前,大岡山小学校前,4.468,5.362
BEV_02,BEV,T_Weekday.1135,26,29,目黒駅前,大岡山小学校前,4.468,5.362
BEV_02,BEV,T_Weekday.1231,30,33,目黒駅前,大岡山小学校前,4.468,5.362
BEV_02,BEV,T_Weekday.1334,34,37,目黒駅前,大岡山小学校前,4.468,5.362
BEV_02,BEV,T_Weekday.1430,38,41,目黒駅前,大岡山小学校前,4.468,5.362
BEV_02,BEV,T_Weekday.1533,42,45,目黒駅前,大岡山小学校前,4.468,5.362
BEV_02,BEV,T_Weekday.1634,46,49,目黒駅前,大岡山小学校前,4.468,5.362
BEV_02,BEV,T_Weekday.1731,50,52,目黒駅前,大岡山小学校前,4.468,5.362
BEV_02,BEV,T_Weekday.1818,53,56,目黒駅前,大岡山小学校前,4.468,5.362
BEV_02,BEV,T_Weekday.1915,57,59,目黒駅前,大岡山小学校前,4.468,5.362
BEV_02,BEV,T_Weekday.2002,60,62,目黒駅前,大岡山小学校前,4.468,5.362
BEV_02,BEV,T_Weekday.2049,63,66,目黒駅前,大岡山小学校前,4.468,5.362
BEV_02,BEV,T_Weekday.2146,67,69,目黒駅前,大岡山小学校前,4.468,5.362
BEV_02,BEV,T_Weekday.2232,70,71,目黒駅前,大岡山小学校前,4.468,5.362
BEV_02,BEV,T_Weekday.2309,72,73,目黒駅前,清水,2.213,2.656
BEV_03,BEV,T_Weekday.0545,3,4,目黒郵便局,権之助坂,2.388,2.866
BEV_03,BEV,T_Weekday.0620,5,8,目黒駅前,大岡山小学校前,4.468,5.362
BEV_03,BEV,T_Weekday.0715,9,10,目黒郵便局,権之助坂,2.388,2.866
BEV_03,BEV,T_Weekday.0745,11,13,目黒駅前,大岡山小学校前,4.468,5.362
BEV_03,BEV,T_Weekday.0830,14,16,目黒駅前,大岡山小学校前,4.468,5.362
BEV_03,BEV,T_Weekday.0915,17,20,目黒駅前,大岡山小学校前,4.468,5.362
BEV_03,BEV,T_Weekday.1015,21,24,目黒駅前,大岡山小学校前,4.468,5.362
BEV_03,BEV,T_Weekday.1118,25,28,目黒駅前,大岡山小学校前,4.468,5.362
BEV_03,BEV,T_Weekday.1220,29,32,目黒駅前,大岡山小学校前,4.468,5.362
BEV_03,BEV,T_Weekday.1317,33,36,目黒駅前,大岡山小学校前,4.468,5.362
BEV_03,BEV,T_Weekday.1419,37,40,目黒駅前,大岡山小学校前,4.468,5.362
BEV_03,BEV,T_Weekday.1516,41,44,目黒駅前,大岡山小学校前,4.468,5.362
BEV_03,BEV,T_Weekday.1618,45,48,目黒駅前,大岡山小学校前,4.468,5.362
BEV_03,BEV,T_Weekday.1715,49,51,目黒駅前,大岡山小学校前,4.468,5.362
BEV_03,BEV,T_Weekday.1802,52,54,目黒駅前,大岡山小学校前,4.468,5.362
BEV_03,BEV,T_Weekday.1849,55,58,目黒駅前,大岡山小学校前,4.468,5.362
BEV_03,BEV,T_Weekday.1946,59,61,目黒駅前,大岡山小学校前,4.468,5.362
BEV_03,BEV,T_Weekday.2033,62,65,目黒駅前,大岡山小学校前,4.468,5.362
BEV_03,BEV,T_Weekday.2130,66,68,目黒駅前,大岡山小学校前,4.468,5.362
BEV_03,BEV,T_Weekday.2218,69,71,目黒駅前,大岡山小学校前,4.468,5.362
BEV_03,BEV,T_Weekday.2300,72,73,目黒駅前,大岡山小学校前,4.468,5.362
