vehicle_id,vehicle_type,task_id,start_time_idx,end_time_idx,origin,destination,distance_km,energy_kwh_bev
BEV_01,BEV,(unassigned),,,,,,
BEV_02,BEV,T003,10,16,depot_A,terminal_B,32.0,16.0
BEV_02,BEV,T004,18,24,terminal_B,depot_A,30.0,15.0
BEV_02,BEV,T005,26,32,depot_A,terminal_B,30.0,15.0
BEV_02,BEV,T006,34,40,terminal_B,depot_A,28.0,14.0
BEV_02,BEV,T007,42,48,depot_A,terminal_B,32.0,16.0
BEV_02,BEV,T008,50,56,terminal_B,depot_A,30.0,15.0
BEV_03,BEV,(unassigned),,,,,,
ICE_01,ICE,T001,0,6,depot_A,terminal_B,30.0,15.0
ICE_01,ICE,T002,7,12,terminal_B,depot_A,28.0,14.0
